time,all_num_东方盛虹,all_dic_score,东方盛虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,20,10.00,0.50,15,15.00,5,-5.00
2021-01-02,4,0.00,0.00,2,2.00,2,-2.00
2021-01-03,11,9.00,0.84,10,10.00,1,-1.00
2021-01-04,2,2.00,1.00,2,2.00,0,0.00
2021-01-05,5,5.00,1.00,5,5.00,0,0.00
2021-01-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-01-07,8,4.00,0.50,6,6.00,2,-2.00
2021-01-08,13,3.00,0.23,8,8.00,5,-5.00
2021-01-09,14,12.00,0.86,13,13.00,1,-1.00
2021-01-10,11,9.00,0.82,10,10.00,1,-1.00
2021-01-11,32,22.00,0.70,27,27.00,5,-5.00
2021-01-12,22,12.00,0.51,17,17.00,5,-5.00
2021-01-13,23,13.00,0.80,18,18.00,5,-5.00
2021-01-14,67,33.00,0.59,50,50.00,17,-17.00
2021-01-15,121,33.00,0.30,77,77.00,44,-44.00
2021-01-16,18,8.00,0.69,13,13.00,5,-5.00
2021-01-17,14,6.00,0.52,10,10.00,4,-4.00
2021-01-18,63,37.00,0.71,50,50.00,13,-13.00
2021-01-19,55,17.00,0.49,36,36.00,19,-19.00
2021-01-20,89,5.00,0.14,47,47.00,42,-42.00
2021-01-21,51,21.00,0.59,36,36.00,15,-15.00
2021-01-22,33,15.00,0.68,24,24.00,9,-9.00
2021-01-23,9,9.00,1.00,9,9.00,0,0.00
2021-01-24,13,11.00,0.86,12,12.00,1,-1.00
2021-01-25,30,8.00,0.52,19,19.00,11,-11.00
2021-01-26,29,11.00,0.86,20,20.00,9,-9.00
2021-01-27,38,2.00,-0.03,20,20.00,18,-18.00
2021-01-28,33,5.00,0.35,19,19.00,14,-14.00
2021-01-29,23,13.00,0.79,18,18.00,5,-5.00
2021-01-30,6,-2.00,-0.25,2,2.00,4,-4.00
2021-01-31,7,3.00,0.69,5,5.00,2,-2.00
2021-02-01,34,14.00,0.56,24,24.00,10,-10.00
2021-02-02,24,12.00,0.70,18,18.00,6,-6.00
2021-02-03,24,12.00,0.61,18,18.00,6,-6.00
2021-02-04,20,6.00,0.27,13,13.00,7,-7.00
2021-02-05,26,10.00,0.61,18,18.00,8,-8.00
2021-02-06,5,1.00,0.14,3,3.00,2,-2.00
2021-02-07,9,1.00,0.57,5,5.00,4,-4.00
2021-02-08,31,1.00,0.38,16,16.00,15,-15.00
2021-02-09,26,-4.00,-0.00,11,11.00,15,-15.00
2021-02-10,8,2.00,0.54,5,5.00,3,-3.00
2021-02-12,2,0.00,-0.41,1,1.00,1,-1.00
2021-02-14,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-16,2,0.00,0.24,1,1.00,1,-1.00
2021-02-17,2,2.00,1.00,2,2.00,0,0.00
2021-02-18,26,6.00,0.91,16,16.00,10,-10.00
2021-02-19,16,4.00,0.38,10,10.00,6,-6.00
2021-02-20,1,1.00,1.00,1,1.00,0,0.00
2021-02-21,1,1.00,1.00,1,1.00,0,0.00
2021-02-22,18,2.00,-0.08,10,10.00,8,-8.00
2021-02-23,53,15.00,0.42,34,34.00,19,-19.00
2021-02-24,32,16.00,0.61,24,24.00,8,-8.00
2021-02-25,23,5.00,0.43,14,14.00,9,-9.00
2021-02-26,28,6.00,0.46,17,17.00,11,-11.00
2021-02-27,5,1.00,-0.03,3,3.00,2,-2.00
2021-02-28,7,5.00,0.65,6,6.00,1,-1.00
2021-03-01,19,7.00,0.31,13,13.00,6,-6.00
2021-03-02,11,9.00,0.99,10,10.00,1,-1.00
2021-03-03,16,-2.00,-0.07,7,7.00,9,-9.00
2021-03-04,29,7.00,0.92,18,18.00,11,-11.00
2021-03-05,21,1.00,0.20,11,11.00,10,-10.00
2021-03-06,1,1.00,1.00,1,1.00,0,0.00
2021-03-07,4,4.00,1.00,4,4.00,0,0.00
2021-03-08,20,10.00,0.64,15,15.00,5,-5.00
2021-03-09,12,6.00,0.47,9,9.00,3,-3.00
2021-03-10,20,12.00,0.68,16,16.00,4,-4.00
2021-03-11,28,16.00,0.76,22,22.00,6,-6.00
2021-03-12,20,2.00,0.49,11,11.00,9,-9.00
2021-03-14,1,1.00,1.00,1,1.00,0,0.00
2021-03-15,7,3.00,0.74,5,5.00,2,-2.00
2021-03-16,7,3.00,0.59,5,5.00,2,-2.00
2021-03-17,20,20.00,1.00,20,20.00,0,0.00
2021-03-18,28,10.00,0.51,19,19.00,9,-9.00
2021-03-19,17,9.00,0.81,13,13.00,4,-4.00
2021-03-20,2,-2.00,-1.00,0,0.00,2,-2.00
2021-03-21,4,4.00,1.00,4,4.00,0,0.00
2021-03-22,28,0.00,0.45,14,14.00,14,-14.00
2021-03-23,65,11.00,0.42,38,38.00,27,-27.00
2021-03-24,53,13.00,0.37,33,33.00,20,-20.00
2021-03-25,26,6.00,0.52,16,16.00,10,-10.00
2021-03-26,31,9.00,0.30,20,20.00,11,-11.00
2021-03-27,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-29,22,14.00,0.68,18,18.00,4,-4.00
2021-03-30,46,-2.00,0.27,22,22.00,24,-24.00
2021-03-31,35,7.00,0.53,21,21.00,14,-14.00
2021-04-01,22,4.00,0.54,13,13.00,9,-9.00
2021-04-02,7,5.00,0.77,6,6.00,1,-1.00
2021-04-03,1,1.00,1.00,1,1.00,0,0.00
2021-04-04,1,1.00,1.00,1,1.00,0,0.00
2021-04-05,4,4.00,1.00,4,4.00,0,0.00
2021-04-06,8,6.00,0.74,7,7.00,1,-1.00
2021-04-07,8,4.00,0.87,6,6.00,2,-2.00
2021-04-08,19,5.00,0.57,12,12.00,7,-7.00
2021-04-09,15,1.00,-0.03,8,8.00,7,-7.00
2021-04-10,4,4.00,1.00,4,4.00,0,0.00
2021-04-11,2,0.00,0.69,1,1.00,1,-1.00
2021-04-12,12,8.00,0.77,10,10.00,2,-2.00
2021-04-13,11,3.00,0.43,7,7.00,4,-4.00
2021-04-14,42,40.00,0.98,41,41.00,1,-1.00
2021-04-15,18,14.00,0.83,16,16.00,2,-2.00
2021-04-16,13,11.00,0.85,12,12.00,1,-1.00
2021-04-17,3,3.00,1.00,3,3.00,0,0.00
2021-04-18,7,5.00,0.79,6,6.00,1,-1.00
2021-04-19,21,17.00,0.94,19,19.00,2,-2.00
2021-04-20,16,8.00,0.83,12,12.00,4,-4.00
2021-04-21,30,6.00,0.34,18,18.00,12,-12.00
2021-04-22,18,14.00,0.93,16,16.00,2,-2.00
2021-04-23,6,0.00,0.13,3,3.00,3,-3.00
2021-04-24,2,0.00,0.44,1,1.00,1,-1.00
2021-04-25,12,8.00,0.91,10,10.00,2,-2.00
2021-04-26,19,7.00,0.60,13,13.00,6,-6.00
2021-04-27,12,4.00,0.59,8,8.00,4,-4.00
2021-04-28,9,3.00,0.32,6,6.00,3,-3.00
2021-04-29,14,12.00,0.92,13,13.00,1,-1.00
2021-04-30,8,6.00,0.85,7,7.00,1,-1.00
2021-05-02,2,0.00,0.45,1,1.00,1,-1.00
2021-05-03,3,1.00,0.54,2,2.00,1,-1.00
2021-05-04,5,1.00,0.49,3,3.00,2,-2.00
2021-05-05,3,3.00,1.00,3,3.00,0,0.00
2021-05-06,6,6.00,1.00,6,6.00,0,0.00
2021-05-07,9,7.00,0.56,8,8.00,1,-1.00
2021-05-08,1,1.00,1.00,1,1.00,0,0.00
2021-05-09,6,2.00,0.56,4,4.00,2,-2.00
2021-05-10,9,5.00,0.73,7,7.00,2,-2.00
2021-05-11,14,4.00,0.64,9,9.00,5,-5.00
2021-05-12,60,50.00,0.79,55,55.00,5,-5.00
2021-05-13,86,20.00,0.43,53,53.00,33,-33.00
2021-05-14,75,31.00,0.62,53,53.00,22,-22.00
2021-05-15,4,2.00,0.57,3,3.00,1,-1.00
2021-05-16,12,6.00,0.42,9,9.00,3,-3.00
2021-05-17,52,18.00,0.38,35,35.00,17,-17.00
2021-05-18,39,11.00,0.40,25,25.00,14,-14.00
2021-05-19,22,6.00,0.15,14,14.00,8,-8.00
2021-05-20,22,8.00,0.51,15,15.00,7,-7.00
2021-05-21,27,5.00,-0.12,16,16.00,11,-11.00
2021-05-22,3,3.00,1.00,3,3.00,0,0.00
2021-05-23,3,3.00,1.00,3,3.00,0,0.00
2021-05-24,14,4.00,0.16,9,9.00,5,-5.00
2021-05-25,19,7.00,0.85,13,13.00,6,-6.00
2021-05-26,10,4.00,0.61,7,7.00,3,-3.00
2021-05-27,50,6.00,0.33,28,28.00,22,-22.00
2021-05-28,33,15.00,0.60,24,24.00,9,-9.00
2021-05-29,4,2.00,0.28,3,3.00,1,-1.00
2021-05-30,3,3.00,1.00,3,3.00,0,0.00
2021-05-31,34,10.00,0.37,22,22.00,12,-12.00
2021-06-01,29,9.00,0.38,19,19.00,10,-10.00
2021-06-02,15,5.00,0.43,10,10.00,5,-5.00
2021-06-03,26,-4.00,0.05,11,11.00,15,-15.00
2021-06-04,10,4.00,0.69,7,7.00,3,-3.00
2021-06-05,3,1.00,0.68,2,2.00,1,-1.00
2021-06-06,6,6.00,1.00,6,6.00,0,0.00
2021-06-07,13,-1.00,0.03,6,6.00,7,-7.00
2021-06-08,15,7.00,0.54,11,11.00,4,-4.00
2021-06-09,20,8.00,0.55,14,14.00,6,-6.00
2021-06-10,20,8.00,0.60,14,14.00,6,-6.00
2021-06-11,22,-2.00,0.23,10,10.00,12,-12.00
2021-06-12,1,1.00,1.00,1,1.00,0,0.00
2021-06-14,4,4.00,1.00,4,4.00,0,0.00
2021-06-15,16,-2.00,0.06,7,7.00,9,-9.00
2021-06-16,29,1.00,0.77,15,15.00,14,-14.00
2021-06-17,15,5.00,0.46,10,10.00,5,-5.00
2021-06-18,35,5.00,0.22,20,20.00,15,-15.00
2021-06-19,1,1.00,1.00,1,1.00,0,0.00
2021-06-20,8,8.00,1.00,8,8.00,0,0.00
2021-06-21,41,-1.00,-0.00,20,20.00,21,-21.00
2021-06-22,26,12.00,0.38,19,19.00,7,-7.00
2021-06-23,58,22.00,0.57,40,40.00,18,-18.00
2021-06-24,72,18.00,0.32,45,45.00,27,-27.00
2021-06-25,89,19.00,0.43,54,54.00,35,-35.00
2021-06-26,9,-1.00,0.34,4,4.00,5,-5.00
2021-06-27,6,4.00,0.86,5,5.00,1,-1.00
2021-06-28,88,28.00,0.48,58,58.00,30,-30.00
2021-06-29,40,16.00,0.62,28,28.00,12,-12.00
2021-06-30,53,19.00,0.35,36,36.00,17,-17.00
2021-07-01,67,19.00,0.37,43,43.00,24,-24.00
2021-07-02,68,-8.00,-0.15,30,30.00,38,-38.00
2021-07-03,7,1.00,0.24,4,4.00,3,-3.00
2021-07-04,7,3.00,0.63,5,5.00,2,-2.00
2021-07-05,23,-1.00,-0.13,11,11.00,12,-12.00
2021-07-06,26,6.00,0.46,16,16.00,10,-10.00
2021-07-07,77,25.00,0.56,51,51.00,26,-26.00
2021-07-08,74,26.00,0.63,50,50.00,24,-24.00
2021-07-09,129,85.00,0.79,107,107.00,22,-22.00
2021-07-10,17,5.00,0.50,11,11.00,6,-6.00
2021-07-11,25,9.00,0.59,17,17.00,8,-8.00
2021-07-12,112,38.00,0.47,75,75.00,37,-37.00
2021-07-13,51,27.00,0.73,39,39.00,12,-12.00
2021-07-14,55,23.00,0.59,39,39.00,16,-16.00
2021-07-15,42,12.00,0.57,27,27.00,15,-15.00
2021-07-16,53,13.00,0.57,33,33.00,20,-20.00
2021-07-17,10,10.00,1.00,10,10.00,0,0.00
2021-07-18,11,9.00,0.86,10,10.00,1,-1.00
2021-07-19,125,29.00,0.44,77,77.00,48,-48.00
2021-07-20,70,8.00,0.50,39,39.00,31,-31.00
2021-07-21,72,28.00,0.62,50,50.00,22,-22.00
2021-07-22,64,18.00,0.33,41,41.00,23,-23.00
2021-07-23,83,35.00,0.53,59,59.00,24,-24.00
2021-07-24,13,5.00,0.67,9,9.00,4,-4.00
2021-07-25,14,6.00,0.37,10,10.00,4,-4.00
2021-07-26,48,16.00,0.35,32,32.00,16,-16.00
2021-07-27,72,16.00,0.26,44,44.00,28,-28.00
2021-07-28,46,12.00,0.62,29,29.00,17,-17.00
2021-07-29,116,34.00,0.40,75,75.00,41,-41.00
2021-07-30,73,23.00,0.36,48,48.00,25,-25.00
2021-07-31,10,6.00,0.85,8,8.00,2,-2.00
2021-08-01,15,7.00,0.42,11,11.00,4,-4.00
2021-08-02,136,28.00,0.36,82,82.00,54,-54.00
2021-08-03,63,-7.00,0.04,28,28.00,35,-35.00
2021-08-04,131,33.00,0.39,82,82.00,49,-49.00
2021-08-05,259,61.00,0.43,160,160.00,99,-99.00
2021-08-06,149,25.00,0.44,87,87.00,62,-62.00
2021-08-07,10,6.00,0.83,8,8.00,2,-2.00
2021-08-08,14,2.00,0.45,8,8.00,6,-6.00
2021-08-09,98,20.00,0.36,59,59.00,39,-39.00
2021-08-10,81,27.00,0.44,54,54.00,27,-27.00
2021-08-11,52,10.00,0.23,31,31.00,21,-21.00
2021-08-12,54,6.00,0.31,30,30.00,24,-24.00
2021-08-13,73,25.00,0.24,49,49.00,24,-24.00
2021-08-14,14,8.00,0.66,11,11.00,3,-3.00
2021-08-15,16,10.00,0.58,13,13.00,3,-3.00
2021-08-16,113,35.00,0.48,74,74.00,39,-39.00
2021-08-17,68,16.00,0.35,42,42.00,26,-26.00
2021-08-18,45,1.00,0.05,23,23.00,22,-22.00
2021-08-19,89,17.00,0.32,53,53.00,36,-36.00
2021-08-20,52,16.00,0.50,34,34.00,18,-18.00
2021-08-21,13,7.00,0.68,10,10.00,3,-3.00
2021-08-22,8,4.00,0.89,6,6.00,2,-2.00
2021-08-23,112,16.00,0.33,64,64.00,48,-48.00
2021-08-24,146,80.00,0.62,113,113.00,33,-33.00
2021-08-25,134,48.00,0.65,91,91.00,43,-43.00
2021-08-26,100,38.00,0.57,69,69.00,31,-31.00
2021-08-27,60,26.00,0.51,43,43.00,17,-17.00
2021-08-28,14,10.00,0.78,12,12.00,2,-2.00
2021-08-29,28,8.00,0.46,18,18.00,10,-10.00
2021-08-30,70,32.00,0.69,51,51.00,19,-19.00
2021-08-31,66,26.00,0.73,46,46.00,20,-20.00
2021-09-01,48,20.00,0.46,34,34.00,14,-14.00
2021-09-02,86,20.00,0.45,53,53.00,33,-33.00
2021-09-03,52,20.00,0.69,36,36.00,16,-16.00
2021-09-04,5,5.00,1.00,5,5.00,0,0.00
2021-09-05,12,4.00,0.53,8,8.00,4,-4.00
2021-09-06,69,21.00,0.41,45,45.00,24,-24.00
2021-09-07,58,24.00,0.74,41,41.00,17,-17.00
2021-09-08,48,20.00,0.26,34,34.00,14,-14.00
2021-09-09,46,22.00,0.65,34,34.00,12,-12.00
2021-09-10,58,20.00,0.60,39,39.00,19,-19.00
2021-09-11,18,4.00,0.45,11,11.00,7,-7.00
2021-09-12,15,7.00,0.64,11,11.00,4,-4.00
2021-09-13,54,24.00,0.72,39,39.00,15,-15.00
2021-09-14,71,13.00,0.40,42,42.00,29,-29.00
2021-09-15,60,14.00,0.51,37,37.00,23,-23.00
2021-09-16,100,32.00,0.45,66,66.00,34,-34.00
2021-09-17,50,12.00,0.35,31,31.00,19,-19.00
2021-09-18,7,1.00,0.32,4,4.00,3,-3.00
2021-09-19,3,1.00,0.26,2,2.00,1,-1.00
2021-09-20,3,-1.00,-0.65,1,1.00,2,-2.00
2021-09-21,11,3.00,0.48,7,7.00,4,-4.00
2021-09-22,53,1.00,0.23,27,27.00,26,-26.00
2021-09-23,163,13.00,0.29,88,88.00,75,-75.00
2021-09-24,88,12.00,0.66,50,50.00,38,-38.00
2021-09-25,12,8.00,0.83,10,10.00,2,-2.00
2021-09-26,7,3.00,0.89,5,5.00,2,-2.00
2021-09-27,83,13.00,0.66,48,48.00,35,-35.00
2021-09-28,66,6.00,0.35,36,36.00,30,-30.00
2021-09-29,160,10.00,0.18,85,85.00,75,-75.00
2021-09-30,52,36.00,0.12,44,44.00,8,-8.00
2021-10-01,9,9.00,1.00,9,9.00,0,0.00
2021-10-02,2,0.00,0.42,1,1.00,1,-1.00
2021-10-03,2,0.00,0.07,1,1.00,1,-1.00
2021-10-06,3,3.00,1.00,3,3.00,0,0.00
2021-10-07,6,2.00,0.65,4,4.00,2,-2.00
2021-10-08,105,5.00,0.14,55,55.00,50,-50.00
