time,all_num_亿联网络,all_dic_score,亿联网络舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,1.00,1.00,1,1.00,0,0.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,1,1.00,1.00,1,1.00,0,0.00
2021-01-04,21,7.00,0.50,14,14.00,7,-7.00
2021-01-05,10,8.00,0.89,9,9.00,1,-1.00
2021-01-06,14,10.00,0.81,12,12.00,2,-2.00
2021-01-07,10,2.00,0.46,6,6.00,4,-4.00
2021-01-08,58,-14.00,-0.19,22,22.00,36,-36.00
2021-01-09,1,1.00,1.00,1,1.00,0,0.00
2021-01-10,5,1.00,0.36,3,3.00,2,-2.00
2021-01-11,25,7.00,0.37,16,16.00,9,-9.00
2021-01-12,11,5.00,-0.85,8,8.00,3,-3.00
2021-01-13,19,7.00,0.33,13,13.00,6,-6.00
2021-01-14,23,17.00,0.71,20,20.00,3,-3.00
2021-01-15,28,16.00,0.83,22,22.00,6,-6.00
2021-01-16,6,4.00,0.83,5,5.00,1,-1.00
2021-01-17,8,4.00,0.42,6,6.00,2,-2.00
2021-01-18,24,14.00,0.52,19,19.00,5,-5.00
2021-01-19,6,6.00,1.00,6,6.00,0,0.00
2021-01-20,16,8.00,0.63,12,12.00,4,-4.00
2021-01-21,21,11.00,0.71,16,16.00,5,-5.00
2021-01-22,18,8.00,0.72,13,13.00,5,-5.00
2021-01-23,1,1.00,1.00,1,1.00,0,0.00
2021-01-24,4,2.00,0.39,3,3.00,1,-1.00
2021-01-25,17,11.00,0.67,14,14.00,3,-3.00
2021-01-26,14,6.00,0.44,10,10.00,4,-4.00
2021-01-27,9,5.00,0.72,7,7.00,2,-2.00
2021-01-28,10,6.00,0.51,8,8.00,2,-2.00
2021-01-29,8,8.00,1.00,8,8.00,0,0.00
2021-01-30,1,1.00,1.00,1,1.00,0,0.00
2021-01-31,6,4.00,0.69,5,5.00,1,-1.00
2021-02-01,8,6.00,0.89,7,7.00,1,-1.00
2021-02-02,14,8.00,0.89,11,11.00,3,-3.00
2021-02-03,9,7.00,0.78,8,8.00,1,-1.00
2021-02-04,5,1.00,0.68,3,3.00,2,-2.00
2021-02-05,15,9.00,0.69,12,12.00,3,-3.00
2021-02-06,3,-1.00,-0.25,1,1.00,2,-2.00
2021-02-07,9,1.00,-0.11,5,5.00,4,-4.00
2021-02-08,7,-1.00,-0.18,3,3.00,4,-4.00
2021-02-09,12,6.00,0.60,9,9.00,3,-3.00
2021-02-10,3,3.00,1.00,3,3.00,0,0.00
2021-02-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-16,5,3.00,0.58,4,4.00,1,-1.00
2021-02-17,7,3.00,0.38,5,5.00,2,-2.00
2021-02-18,17,7.00,0.93,12,12.00,5,-5.00
2021-02-19,8,2.00,0.32,5,5.00,3,-3.00
2021-02-21,1,1.00,1.00,1,1.00,0,0.00
2021-02-22,13,7.00,0.38,10,10.00,3,-3.00
2021-02-23,7,-1.00,-0.93,3,3.00,4,-4.00
2021-02-24,5,1.00,0.12,3,3.00,2,-2.00
2021-02-25,17,3.00,0.46,10,10.00,7,-7.00
2021-02-26,16,4.00,0.04,10,10.00,6,-6.00
2021-02-27,3,3.00,1.00,3,3.00,0,0.00
2021-02-28,1,1.00,1.00,1,1.00,0,0.00
2021-03-01,13,3.00,-0.79,8,8.00,5,-5.00
2021-03-02,6,2.00,0.81,4,4.00,2,-2.00
2021-03-03,5,3.00,0.99,4,4.00,1,-1.00
2021-03-04,9,5.00,0.30,7,7.00,2,-2.00
2021-03-05,8,4.00,0.82,6,6.00,2,-2.00
2021-03-06,1,1.00,1.00,1,1.00,0,0.00
2021-03-08,25,7.00,0.51,16,16.00,9,-9.00
2021-03-09,11,1.00,-0.86,6,6.00,5,-5.00
2021-03-10,18,0.00,0.81,9,9.00,9,-9.00
2021-03-11,16,10.00,0.75,13,13.00,3,-3.00
2021-03-12,11,3.00,0.61,7,7.00,4,-4.00
2021-03-14,1,1.00,1.00,1,1.00,0,0.00
2021-03-15,11,7.00,0.56,9,9.00,2,-2.00
2021-03-16,19,7.00,0.55,13,13.00,6,-6.00
2021-03-17,6,4.00,0.95,5,5.00,1,-1.00
2021-03-18,7,3.00,0.55,5,5.00,2,-2.00
2021-03-19,7,3.00,0.93,5,5.00,2,-2.00
2021-03-20,1,1.00,1.00,1,1.00,0,0.00
2021-03-22,40,18.00,0.73,29,29.00,11,-11.00
2021-03-23,6,0.00,-0.82,3,3.00,3,-3.00
2021-03-24,17,-1.00,0.61,8,8.00,9,-9.00
2021-03-25,12,4.00,0.82,8,8.00,4,-4.00
2021-03-26,6,2.00,0.27,4,4.00,2,-2.00
2021-03-27,1,1.00,1.00,1,1.00,0,0.00
2021-03-28,1,1.00,1.00,1,1.00,0,0.00
2021-03-29,4,0.00,-0.01,2,2.00,2,-2.00
2021-03-30,4,2.00,0.92,3,3.00,1,-1.00
2021-03-31,5,3.00,0.68,4,4.00,1,-1.00
2021-04-01,2,0.00,0.95,1,1.00,1,-1.00
2021-04-02,15,9.00,0.66,12,12.00,3,-3.00
2021-04-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,7,3.00,0.63,5,5.00,2,-2.00
2021-04-07,3,1.00,-0.10,2,2.00,1,-1.00
2021-04-08,10,6.00,0.75,8,8.00,2,-2.00
2021-04-09,13,9.00,0.84,11,11.00,2,-2.00
2021-04-10,3,1.00,0.57,2,2.00,1,-1.00
2021-04-11,7,7.00,1.00,7,7.00,0,0.00
2021-04-12,13,1.00,-0.87,7,7.00,6,-6.00
2021-04-13,13,1.00,0.30,7,7.00,6,-6.00
2021-04-14,3,3.00,1.00,3,3.00,0,0.00
2021-04-15,3,3.00,1.00,3,3.00,0,0.00
2021-04-16,6,2.00,0.51,4,4.00,2,-2.00
2021-04-17,1,1.00,1.00,1,1.00,0,0.00
2021-04-18,2,2.00,1.00,2,2.00,0,0.00
2021-04-19,7,3.00,0.44,5,5.00,2,-2.00
2021-04-20,7,3.00,0.92,5,5.00,2,-2.00
2021-04-21,53,49.00,0.92,51,51.00,2,-2.00
2021-04-22,15,13.00,0.35,14,14.00,1,-1.00
2021-04-23,8,4.00,0.83,6,6.00,2,-2.00
2021-04-24,1,1.00,1.00,1,1.00,0,0.00
2021-04-25,1,1.00,1.00,1,1.00,0,0.00
2021-04-26,8,4.00,0.89,6,6.00,2,-2.00
2021-04-27,10,8.00,0.73,9,9.00,1,-1.00
2021-04-28,11,5.00,0.60,8,8.00,3,-3.00
2021-04-29,8,4.00,0.43,6,6.00,2,-2.00
2021-04-30,7,1.00,0.25,4,4.00,3,-3.00
2021-05-01,2,0.00,-0.03,1,1.00,1,-1.00
2021-05-06,2,2.00,1.00,2,2.00,0,0.00
2021-05-07,4,4.00,1.00,4,4.00,0,0.00
2021-05-09,1,1.00,1.00,1,1.00,0,0.00
2021-05-10,23,7.00,0.63,15,15.00,8,-8.00
2021-05-11,10,10.00,1.00,10,10.00,0,0.00
2021-05-12,12,8.00,0.54,10,10.00,2,-2.00
2021-05-13,6,6.00,1.00,6,6.00,0,0.00
2021-05-14,10,8.00,0.88,9,9.00,1,-1.00
2021-05-16,3,1.00,0.48,2,2.00,1,-1.00
2021-05-17,5,3.00,0.94,4,4.00,1,-1.00
2021-05-18,19,11.00,0.37,15,15.00,4,-4.00
2021-05-19,6,2.00,0.47,4,4.00,2,-2.00
2021-05-20,7,3.00,-0.56,5,5.00,2,-2.00
2021-05-21,6,4.00,0.91,5,5.00,1,-1.00
2021-05-22,3,-1.00,-0.33,1,1.00,2,-2.00
2021-05-23,1,1.00,1.00,1,1.00,0,0.00
2021-05-24,6,2.00,0.41,4,4.00,2,-2.00
2021-05-25,9,5.00,0.52,7,7.00,2,-2.00
2021-05-26,7,3.00,0.65,5,5.00,2,-2.00
2021-05-27,8,2.00,0.35,5,5.00,3,-3.00
2021-05-28,8,4.00,0.37,6,6.00,2,-2.00
2021-05-31,19,9.00,0.57,14,14.00,5,-5.00
2021-06-01,5,5.00,1.00,5,5.00,0,0.00
2021-06-02,2,2.00,1.00,2,2.00,0,0.00
2021-06-03,12,2.00,0.24,7,7.00,5,-5.00
2021-06-04,7,3.00,0.43,5,5.00,2,-2.00
2021-06-05,4,-2.00,-0.52,1,1.00,3,-3.00
2021-06-06,2,2.00,1.00,2,2.00,0,0.00
2021-06-07,5,3.00,0.25,4,4.00,1,-1.00
2021-06-08,3,3.00,1.00,3,3.00,0,0.00
2021-06-09,4,2.00,0.42,3,3.00,1,-1.00
2021-06-10,7,7.00,1.00,7,7.00,0,0.00
2021-06-11,12,8.00,0.74,10,10.00,2,-2.00
2021-06-13,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-14,3,3.00,1.00,3,3.00,0,0.00
2021-06-15,3,3.00,1.00,3,3.00,0,0.00
2021-06-16,4,4.00,1.00,4,4.00,0,0.00
2021-06-17,3,1.00,0.49,2,2.00,1,-1.00
2021-06-18,9,-1.00,0.50,4,4.00,5,-5.00
2021-06-19,2,0.00,0.26,1,1.00,1,-1.00
2021-06-21,7,3.00,0.34,5,5.00,2,-2.00
2021-06-22,41,31.00,0.82,36,36.00,5,-5.00
2021-06-23,26,16.00,0.70,21,21.00,5,-5.00
2021-06-24,18,14.00,0.81,16,16.00,2,-2.00
2021-06-25,8,4.00,0.60,6,6.00,2,-2.00
2021-06-26,1,1.00,1.00,1,1.00,0,0.00
2021-06-27,2,2.00,1.00,2,2.00,0,0.00
2021-06-28,5,3.00,0.75,4,4.00,1,-1.00
2021-06-29,11,5.00,0.56,8,8.00,3,-3.00
2021-06-30,7,5.00,0.92,6,6.00,1,-1.00
2021-07-01,4,2.00,0.61,3,3.00,1,-1.00
2021-07-02,7,5.00,0.77,6,6.00,1,-1.00
2021-07-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-07-05,8,6.00,0.91,7,7.00,1,-1.00
2021-07-06,11,1.00,0.15,6,6.00,5,-5.00
2021-07-07,12,6.00,0.56,9,9.00,3,-3.00
2021-07-08,6,2.00,0.51,4,4.00,2,-2.00
2021-07-09,7,5.00,0.32,6,6.00,1,-1.00
2021-07-10,2,0.00,0.04,1,1.00,1,-1.00
2021-07-11,1,1.00,1.00,1,1.00,0,0.00
2021-07-12,2,0.00,0.08,1,1.00,1,-1.00
2021-07-13,4,4.00,1.00,4,4.00,0,0.00
2021-07-14,13,9.00,0.76,11,11.00,2,-2.00
2021-07-15,29,15.00,0.43,22,22.00,7,-7.00
2021-07-16,14,8.00,0.31,11,11.00,3,-3.00
2021-07-17,1,1.00,1.00,1,1.00,0,0.00
2021-07-18,3,1.00,0.50,2,2.00,1,-1.00
2021-07-19,7,7.00,1.00,7,7.00,0,0.00
2021-07-20,4,2.00,0.67,3,3.00,1,-1.00
2021-07-21,5,3.00,0.53,4,4.00,1,-1.00
2021-07-22,4,2.00,0.49,3,3.00,1,-1.00
2021-07-23,9,7.00,0.87,8,8.00,1,-1.00
2021-07-24,2,2.00,1.00,2,2.00,0,0.00
2021-07-25,2,2.00,1.00,2,2.00,0,0.00
2021-07-26,5,5.00,1.00,5,5.00,0,0.00
2021-07-27,6,4.00,0.76,5,5.00,1,-1.00
2021-07-28,7,5.00,0.80,6,6.00,1,-1.00
2021-07-29,8,0.00,0.01,4,4.00,4,-4.00
2021-07-30,8,-2.00,-0.15,3,3.00,5,-5.00
2021-07-31,3,3.00,1.00,3,3.00,0,0.00
2021-08-01,2,2.00,1.00,2,2.00,0,0.00
2021-08-02,10,2.00,0.22,6,6.00,4,-4.00
2021-08-03,3,3.00,1.00,3,3.00,0,0.00
2021-08-04,14,0.00,0.03,7,7.00,7,-7.00
2021-08-05,2,0.00,0.18,1,1.00,1,-1.00
2021-08-06,18,12.00,0.76,15,15.00,3,-3.00
2021-08-07,3,1.00,0.25,2,2.00,1,-1.00
2021-08-08,2,2.00,1.00,2,2.00,0,0.00
2021-08-09,4,4.00,1.00,4,4.00,0,0.00
2021-08-10,9,3.00,0.46,6,6.00,3,-3.00
2021-08-11,2,2.00,1.00,2,2.00,0,0.00
2021-08-12,2,2.00,1.00,2,2.00,0,0.00
2021-08-13,14,6.00,0.23,10,10.00,4,-4.00
2021-08-14,2,0.00,0.01,1,1.00,1,-1.00
2021-08-15,2,2.00,1.00,2,2.00,0,0.00
2021-08-16,2,2.00,1.00,2,2.00,0,0.00
2021-08-17,4,0.00,-0.04,2,2.00,2,-2.00
2021-08-18,7,5.00,0.86,6,6.00,1,-1.00
2021-08-19,8,4.00,0.54,6,6.00,2,-2.00
2021-08-20,13,7.00,0.56,10,10.00,3,-3.00
2021-08-21,3,3.00,1.00,3,3.00,0,0.00
2021-08-22,10,10.00,1.00,10,10.00,0,0.00
2021-08-23,12,12.00,1.00,12,12.00,0,0.00
2021-08-24,11,9.00,0.93,10,10.00,1,-1.00
2021-08-25,17,11.00,0.78,14,14.00,3,-3.00
2021-08-26,30,14.00,0.62,22,22.00,8,-8.00
2021-08-27,10,6.00,0.70,8,8.00,2,-2.00
2021-08-28,2,2.00,1.00,2,2.00,0,0.00
2021-08-29,4,4.00,1.00,4,4.00,0,0.00
2021-08-30,1,1.00,1.00,1,1.00,0,0.00
2021-09-01,9,7.00,0.89,8,8.00,1,-1.00
2021-09-02,11,3.00,0.65,7,7.00,4,-4.00
2021-09-03,15,5.00,0.56,10,10.00,5,-5.00
2021-09-05,2,2.00,1.00,2,2.00,0,0.00
2021-09-06,4,0.00,0.41,2,2.00,2,-2.00
2021-09-07,34,6.00,0.23,20,20.00,14,-14.00
2021-09-08,8,4.00,0.91,6,6.00,2,-2.00
2021-09-09,11,1.00,0.64,6,6.00,5,-5.00
2021-09-10,7,3.00,0.63,5,5.00,2,-2.00
2021-09-11,1,1.00,1.00,1,1.00,0,0.00
2021-09-13,11,3.00,0.48,7,7.00,4,-4.00
2021-09-14,13,5.00,0.16,9,9.00,4,-4.00
2021-09-15,11,1.00,0.07,6,6.00,5,-5.00
2021-09-16,12,8.00,0.80,10,10.00,2,-2.00
2021-09-17,3,3.00,1.00,3,3.00,0,0.00
2021-09-19,3,3.00,1.00,3,3.00,0,0.00
2021-09-22,7,5.00,0.79,6,6.00,1,-1.00
