time,all_num_圣邦股份,all_dic_score,圣邦股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-09-25,2,0.00,0.35,1,1.00,1,-1.00
2021-09-26,4,2.00,0.59,3,3.00,1,-1.00
2021-09-27,15,9.00,0.20,12,12.00,3,-3.00
2021-09-28,31,7.00,0.61,19,19.00,12,-12.00
2021-09-29,29,9.00,0.41,19,19.00,10,-10.00
2021-09-30,32,6.00,0.54,19,19.00,13,-13.00
2021-10-01,2,2.00,1.00,2,2.00,0,0.00
2021-10-05,1,1.00,1.00,1,1.00,0,0.00
2021-10-07,4,4.00,1.00,4,4.00,0,0.00
2021-10-08,23,7.00,0.42,15,15.00,8,-8.00
2021-10-09,3,1.00,0.31,2,2.00,1,-1.00
2021-10-10,2,-2.00,-1.00,0,0.00,2,-2.00
2021-10-11,17,3.00,0.28,10,10.00,7,-7.00
2021-10-12,19,1.00,0.33,10,10.00,9,-9.00
2021-10-13,19,5.00,0.45,12,12.00,7,-7.00
2021-10-14,28,16.00,0.51,22,22.00,6,-6.00
2021-10-15,35,5.00,0.31,20,20.00,15,-15.00
2021-10-16,2,2.00,1.00,2,2.00,0,0.00
2021-10-17,5,3.00,0.70,4,4.00,1,-1.00
2021-10-18,17,7.00,0.70,12,12.00,5,-5.00
2021-10-19,11,-3.00,-0.21,4,4.00,7,-7.00
2021-10-20,16,6.00,0.47,11,11.00,5,-5.00
2021-10-21,22,14.00,0.72,18,18.00,4,-4.00
2021-10-22,23,1.00,0.08,12,12.00,11,-11.00
2021-10-23,4,4.00,1.00,4,4.00,0,0.00
2021-10-24,5,5.00,1.00,5,5.00,0,0.00
2021-10-25,18,-4.00,0.67,7,7.00,11,-11.00
2021-10-26,36,10.00,0.25,23,23.00,13,-13.00
2021-10-27,28,-6.00,0.04,11,11.00,17,-17.00
2021-10-28,20,6.00,0.37,13,13.00,7,-7.00
2021-10-29,22,6.00,0.33,14,14.00,8,-8.00
2021-10-30,1,1.00,1.00,1,1.00,0,0.00
2021-10-31,8,6.00,0.88,7,7.00,1,-1.00
2021-11-01,31,15.00,0.64,23,23.00,8,-8.00
2021-11-02,26,20.00,0.50,23,23.00,3,-3.00
2021-11-03,35,11.00,0.44,23,23.00,12,-12.00
2021-11-04,31,7.00,0.40,19,19.00,12,-12.00
2021-11-05,21,7.00,0.49,14,14.00,7,-7.00
2021-11-06,5,5.00,1.00,5,5.00,0,0.00
2021-11-07,2,2.00,1.00,2,2.00,0,0.00
2021-11-08,21,11.00,0.81,16,16.00,5,-5.00
2021-11-09,26,6.00,0.29,16,16.00,10,-10.00
2021-11-10,17,1.00,-0.09,9,9.00,8,-8.00
2021-11-11,33,13.00,0.87,23,23.00,10,-10.00
2021-11-12,5,1.00,0.09,3,3.00,2,-2.00
2021-11-13,1,1.00,1.00,1,1.00,0,0.00
2021-11-14,2,2.00,1.00,2,2.00,0,0.00
2021-11-15,8,2.00,0.38,5,5.00,3,-3.00
2021-11-16,19,-3.00,-0.12,8,8.00,11,-11.00
2021-11-17,19,3.00,0.45,11,11.00,8,-8.00
2021-11-18,29,3.00,0.16,16,16.00,13,-13.00
2021-11-19,28,-6.00,-0.08,11,11.00,17,-17.00
2021-11-20,1,1.00,1.00,1,1.00,0,0.00
2021-11-21,6,2.00,0.52,4,4.00,2,-2.00
2021-11-22,19,7.00,0.58,13,13.00,6,-6.00
2021-11-23,18,-4.00,-0.10,7,7.00,11,-11.00
2021-11-24,11,1.00,0.08,6,6.00,5,-5.00
2021-11-25,15,9.00,0.69,12,12.00,3,-3.00
2021-11-26,16,6.00,0.46,11,11.00,5,-5.00
2021-11-27,3,3.00,1.00,3,3.00,0,0.00
2021-11-28,3,3.00,1.00,3,3.00,0,0.00
2021-11-29,7,-1.00,0.26,3,3.00,4,-4.00
2021-11-30,13,7.00,0.68,10,10.00,3,-3.00
2021-12-01,17,5.00,0.44,11,11.00,6,-6.00
2021-12-02,23,3.00,0.19,13,13.00,10,-10.00
2021-12-03,27,5.00,0.34,16,16.00,11,-11.00
2021-12-04,2,2.00,1.00,2,2.00,0,0.00
2021-12-05,3,1.00,0.26,2,2.00,1,-1.00
2021-12-06,17,5.00,0.39,11,11.00,6,-6.00
2021-12-07,21,3.00,0.11,12,12.00,9,-9.00
2021-12-08,25,7.00,0.29,16,16.00,9,-9.00
2021-12-09,26,-2.00,-0.03,12,12.00,14,-14.00
2021-12-10,19,-5.00,-0.12,7,7.00,12,-12.00
2021-12-11,8,4.00,0.46,6,6.00,2,-2.00
2021-12-12,4,4.00,1.00,4,4.00,0,0.00
2021-12-13,14,6.00,0.83,10,10.00,4,-4.00
2021-12-14,17,5.00,0.27,11,11.00,6,-6.00
2021-12-15,8,4.00,0.56,6,6.00,2,-2.00
2021-12-16,8,4.00,0.50,6,6.00,2,-2.00
2021-12-17,11,5.00,0.52,8,8.00,3,-3.00
2021-12-18,1,1.00,1.00,1,1.00,0,0.00
2021-12-19,3,3.00,1.00,3,3.00,0,0.00
2021-12-20,5,5.00,1.00,5,5.00,0,0.00
2021-12-21,23,5.00,0.28,14,14.00,9,-9.00
2021-12-22,16,6.00,0.46,11,11.00,5,-5.00
2021-12-23,7,5.00,0.76,6,6.00,1,-1.00
2021-12-24,2,2.00,1.00,2,2.00,0,0.00
2021-12-26,3,3.00,1.00,3,3.00,0,0.00
2021-12-27,14,2.00,0.11,8,8.00,6,-6.00
2021-12-28,7,3.00,0.61,5,5.00,2,-2.00
2021-12-29,15,5.00,0.35,10,10.00,5,-5.00
2021-12-30,8,2.00,-0.19,5,5.00,3,-3.00
2021-12-31,25,15.00,0.64,20,20.00,5,-5.00
2022-01-01,3,-1.00,-0.22,1,1.00,2,-2.00
2022-01-03,3,3.00,1.00,3,3.00,0,0.00
2022-01-04,14,0.00,0.16,7,7.00,7,-7.00
2022-01-05,33,3.00,0.16,18,18.00,15,-15.00
2022-01-06,13,7.00,0.54,10,10.00,3,-3.00
2022-01-07,5,-1.00,0.24,2,2.00,3,-3.00
2022-01-08,1,1.00,1.00,1,1.00,0,0.00
2022-01-09,3,1.00,0.27,2,2.00,1,-1.00
2022-01-10,13,3.00,0.32,8,8.00,5,-5.00
2022-01-11,17,-3.00,0.04,7,7.00,10,-10.00
2022-01-12,4,4.00,1.00,4,4.00,0,0.00
2022-01-13,20,4.00,0.20,12,12.00,8,-8.00
2022-01-14,11,1.00,-0.01,6,6.00,5,-5.00
2022-01-15,1,1.00,1.00,1,1.00,0,0.00
2022-01-16,4,2.00,0.56,3,3.00,1,-1.00
2022-01-17,13,5.00,0.31,9,9.00,4,-4.00
2022-01-18,13,7.00,0.56,10,10.00,3,-3.00
2022-01-19,3,3.00,1.00,3,3.00,0,0.00
2022-01-20,7,3.00,0.45,5,5.00,2,-2.00
2022-01-21,9,7.00,0.95,8,8.00,1,-1.00
2022-01-22,1,1.00,1.00,1,1.00,0,0.00
2022-01-23,3,1.00,-0.21,2,2.00,1,-1.00
2022-01-24,12,2.00,0.12,7,7.00,5,-5.00
2022-01-25,7,3.00,0.41,5,5.00,2,-2.00
2022-01-26,7,3.00,0.62,5,5.00,2,-2.00
2022-01-27,12,2.00,0.15,7,7.00,5,-5.00
2022-01-28,12,6.00,0.54,9,9.00,3,-3.00
2022-01-29,4,4.00,1.00,4,4.00,0,0.00
2022-01-30,3,3.00,1.00,3,3.00,0,0.00
2022-01-31,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-06,1,1.00,1.00,1,1.00,0,0.00
2022-02-07,18,12.00,0.82,15,15.00,3,-3.00
2022-02-08,13,9.00,0.87,11,11.00,2,-2.00
2022-02-09,14,14.00,1.00,14,14.00,0,0.00
2022-02-10,19,13.00,0.84,16,16.00,3,-3.00
2022-02-11,9,5.00,0.56,7,7.00,2,-2.00
2022-02-12,5,-1.00,-0.17,2,2.00,3,-3.00
2022-02-13,2,2.00,1.00,2,2.00,0,0.00
2022-02-14,5,1.00,0.15,3,3.00,2,-2.00
2022-02-15,9,3.00,0.35,6,6.00,3,-3.00
2022-02-16,6,4.00,0.71,5,5.00,1,-1.00
2022-02-17,11,5.00,0.55,8,8.00,3,-3.00
2022-02-18,9,1.00,0.28,5,5.00,4,-4.00
2022-02-19,2,0.00,0.04,1,1.00,1,-1.00
2022-02-20,3,1.00,0.34,2,2.00,1,-1.00
2022-02-21,6,0.00,0.10,3,3.00,3,-3.00
2022-02-22,24,4.00,0.26,14,14.00,10,-10.00
2022-02-23,15,9.00,0.82,12,12.00,3,-3.00
2022-02-24,11,9.00,0.86,10,10.00,1,-1.00
2022-02-25,5,5.00,1.00,5,5.00,0,0.00
2022-02-26,1,1.00,1.00,1,1.00,0,0.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,6,4.00,0.78,5,5.00,1,-1.00
2022-03-01,15,5.00,0.41,10,10.00,5,-5.00
2022-03-02,19,5.00,0.40,12,12.00,7,-7.00
2022-03-03,21,3.00,0.13,12,12.00,9,-9.00
2022-03-04,14,6.00,0.59,10,10.00,4,-4.00
2022-03-05,5,1.00,-0.30,3,3.00,2,-2.00
2022-03-06,3,1.00,0.44,2,2.00,1,-1.00
2022-03-07,12,8.00,0.43,10,10.00,2,-2.00
2022-03-08,10,4.00,0.58,7,7.00,3,-3.00
2022-03-09,23,9.00,0.27,16,16.00,7,-7.00
2022-03-10,16,8.00,0.63,12,12.00,4,-4.00
2022-03-11,17,13.00,0.77,15,15.00,2,-2.00
2022-03-12,2,2.00,1.00,2,2.00,0,0.00
2022-03-13,2,2.00,1.00,2,2.00,0,0.00
2022-03-14,13,3.00,0.25,8,8.00,5,-5.00
2022-03-15,28,14.00,0.53,21,21.00,7,-7.00
2022-03-16,25,11.00,0.54,18,18.00,7,-7.00
2022-03-17,32,18.00,0.50,25,25.00,7,-7.00
2022-03-18,8,6.00,0.70,7,7.00,1,-1.00
2022-03-19,2,2.00,1.00,2,2.00,0,0.00
2022-03-20,3,3.00,1.00,3,3.00,0,0.00
2022-03-21,13,5.00,0.42,9,9.00,4,-4.00
2022-03-22,13,3.00,0.27,8,8.00,5,-5.00
2022-03-23,9,7.00,0.83,8,8.00,1,-1.00
2022-03-24,8,6.00,0.80,7,7.00,1,-1.00
2022-03-25,12,4.00,0.35,8,8.00,4,-4.00
2022-03-26,6,2.00,0.56,4,4.00,2,-2.00
2022-03-27,3,1.00,0.23,2,2.00,1,-1.00
2022-03-28,4,4.00,1.00,4,4.00,0,0.00
2022-03-29,16,10.00,0.73,13,13.00,3,-3.00
2022-03-30,31,3.00,0.09,17,17.00,14,-14.00
2022-03-31,20,6.00,0.34,13,13.00,7,-7.00
2022-04-01,5,3.00,0.59,4,4.00,1,-1.00
2022-04-02,3,3.00,1.00,3,3.00,0,0.00
2022-04-04,1,1.00,1.00,1,1.00,0,0.00
2022-04-05,3,1.00,0.42,2,2.00,1,-1.00
2022-04-06,20,14.00,0.66,17,17.00,3,-3.00
2022-04-07,12,2.00,0.16,7,7.00,5,-5.00
2022-04-08,15,7.00,0.46,11,11.00,4,-4.00
2022-04-09,3,1.00,0.57,2,2.00,1,-1.00
2022-04-10,2,0.00,-0.04,1,1.00,1,-1.00
2022-04-11,10,6.00,0.50,8,8.00,2,-2.00
2022-04-12,16,2.00,0.27,9,9.00,7,-7.00
2022-04-13,11,5.00,0.40,8,8.00,3,-3.00
2022-04-14,22,6.00,0.21,14,14.00,8,-8.00
2022-04-15,10,8.00,0.80,9,9.00,1,-1.00
2022-04-16,2,0.00,-0.44,1,1.00,1,-1.00
2022-04-17,6,4.00,0.75,5,5.00,1,-1.00
2022-04-18,8,8.00,1.00,8,8.00,0,0.00
2022-04-19,9,1.00,0.03,5,5.00,4,-4.00
2022-04-20,15,-3.00,-0.21,6,6.00,9,-9.00
2022-04-21,22,14.00,0.65,18,18.00,4,-4.00
2022-04-22,63,45.00,0.69,54,54.00,9,-9.00
2022-04-23,7,5.00,0.85,6,6.00,1,-1.00
2022-04-24,10,2.00,0.53,6,6.00,4,-4.00
2022-04-25,24,8.00,0.39,16,16.00,8,-8.00
2022-04-26,22,18.00,0.52,20,20.00,2,-2.00
2022-04-27,20,2.00,-0.07,11,11.00,9,-9.00
2022-04-28,27,21.00,0.51,24,24.00,3,-3.00
2022-04-29,15,7.00,0.57,11,11.00,4,-4.00
2022-04-30,5,3.00,0.66,4,4.00,1,-1.00
2022-05-03,1,-1.00,-1.00,0,0.00,1,-1.00
2022-05-04,4,4.00,1.00,4,4.00,0,0.00
2022-05-05,9,7.00,0.84,8,8.00,1,-1.00
2022-05-06,8,2.00,-0.32,5,5.00,3,-3.00
2022-05-07,2,-2.00,-1.00,0,0.00,2,-2.00
2022-05-09,16,4.00,0.28,10,10.00,6,-6.00
2022-05-10,11,11.00,1.00,11,11.00,0,0.00
2022-05-11,8,0.00,-0.29,4,4.00,4,-4.00
2022-05-12,11,7.00,0.77,9,9.00,2,-2.00
2022-05-13,13,-5.00,-0.42,4,4.00,9,-9.00
2022-05-14,1,1.00,1.00,1,1.00,0,0.00
2022-05-15,3,3.00,1.00,3,3.00,0,0.00
2022-05-16,7,-1.00,-0.12,3,3.00,4,-4.00
2022-05-17,17,11.00,0.69,14,14.00,3,-3.00
2022-05-18,18,16.00,0.95,17,17.00,1,-1.00
2022-05-19,25,7.00,0.29,16,16.00,9,-9.00
2022-05-20,22,10.00,0.26,16,16.00,6,-6.00
2022-05-21,2,2.00,1.00,2,2.00,0,0.00
2022-05-22,3,3.00,1.00,3,3.00,0,0.00
2022-05-23,25,1.00,0.08,13,13.00,12,-12.00
2022-05-24,17,7.00,0.64,12,12.00,5,-5.00
2022-05-25,32,12.00,0.46,22,22.00,10,-10.00
2022-05-26,23,9.00,0.47,16,16.00,7,-7.00
2022-05-27,19,9.00,0.48,14,14.00,5,-5.00
2022-05-28,5,1.00,0.16,3,3.00,2,-2.00
2022-05-29,2,2.00,1.00,2,2.00,0,0.00
2022-05-30,15,9.00,0.54,12,12.00,3,-3.00
2022-05-31,28,10.00,0.38,19,19.00,9,-9.00
2022-06-01,14,0.00,0.14,7,7.00,7,-7.00
2022-06-02,7,7.00,1.00,7,7.00,0,0.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-04,2,-2.00,-1.00,0,0.00,2,-2.00
2022-06-05,2,2.00,1.00,2,2.00,0,0.00
2022-06-06,28,0.00,0.05,14,14.00,14,-14.00
2022-06-07,25,9.00,0.78,17,17.00,8,-8.00
2022-06-08,21,1.00,0.13,11,11.00,10,-10.00
2022-06-09,17,11.00,0.73,14,14.00,3,-3.00
2022-06-10,68,34.00,0.45,51,51.00,17,-17.00
2022-06-11,3,3.00,1.00,3,3.00,0,0.00
2022-06-12,9,7.00,0.91,8,8.00,1,-1.00
2022-06-13,88,24.00,0.41,56,56.00,32,-32.00
2022-06-14,91,19.00,0.28,55,55.00,36,-36.00
2022-06-15,38,18.00,0.24,28,28.00,10,-10.00
2022-06-16,32,18.00,0.39,25,25.00,7,-7.00
2022-06-17,18,10.00,0.51,14,14.00,4,-4.00
2022-06-18,5,3.00,0.74,4,4.00,1,-1.00
2022-06-19,6,4.00,0.21,5,5.00,1,-1.00
2022-06-20,11,7.00,0.79,9,9.00,2,-2.00
2022-06-21,23,11.00,0.35,17,17.00,6,-6.00
2022-06-22,47,15.00,0.39,31,31.00,16,-16.00
2022-06-23,51,25.00,0.51,38,38.00,13,-13.00
2022-06-24,25,11.00,0.51,18,18.00,7,-7.00
2022-06-25,5,3.00,0.70,4,4.00,1,-1.00
2022-06-26,5,5.00,1.00,5,5.00,0,0.00
2022-06-27,17,1.00,-0.03,9,9.00,8,-8.00
2022-06-28,23,11.00,0.42,17,17.00,6,-6.00
2022-06-29,17,11.00,0.75,14,14.00,3,-3.00
2022-06-30,25,1.00,-0.16,13,13.00,12,-12.00
