time,all_num_星宇股份,all_dic_score,星宇股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,1.00,1.00,1,1.00,0,0.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,2,2.00,1.00,2,2.00,0,0.00
2021-01-04,6,4.00,0.26,5,5.00,1,-1.00
2021-01-05,8,6.00,0.95,7,7.00,1,-1.00
2021-01-06,7,3.00,0.55,5,5.00,2,-2.00
2021-01-07,9,7.00,0.84,8,8.00,1,-1.00
2021-01-08,10,10.00,1.00,10,10.00,0,0.00
2021-01-09,2,2.00,1.00,2,2.00,0,0.00
2021-01-10,5,5.00,1.00,5,5.00,0,0.00
2021-01-11,3,1.00,0.52,2,2.00,1,-1.00
2021-01-12,5,5.00,1.00,5,5.00,0,0.00
2021-01-13,20,8.00,0.42,14,14.00,6,-6.00
2021-01-14,7,7.00,1.00,7,7.00,0,0.00
2021-01-15,12,12.00,1.00,12,12.00,0,0.00
2021-01-16,4,4.00,1.00,4,4.00,0,0.00
2021-01-17,5,5.00,1.00,5,5.00,0,0.00
2021-01-18,5,3.00,0.68,4,4.00,1,-1.00
2021-01-19,5,5.00,1.00,5,5.00,0,0.00
2021-01-20,6,6.00,1.00,6,6.00,0,0.00
2021-01-21,6,6.00,1.00,6,6.00,0,0.00
2021-01-22,8,6.00,0.73,7,7.00,1,-1.00
2021-01-23,5,5.00,1.00,5,5.00,0,0.00
2021-01-24,1,1.00,1.00,1,1.00,0,0.00
2021-01-25,3,3.00,1.00,3,3.00,0,0.00
2021-01-26,4,4.00,1.00,4,4.00,0,0.00
2021-01-27,6,6.00,1.00,6,6.00,0,0.00
2021-01-28,7,7.00,1.00,7,7.00,0,0.00
2021-01-29,5,5.00,1.00,5,5.00,0,0.00
2021-01-30,2,2.00,1.00,2,2.00,0,0.00
2021-01-31,3,3.00,1.00,3,3.00,0,0.00
2021-02-01,3,3.00,1.00,3,3.00,0,0.00
2021-02-02,5,5.00,1.00,5,5.00,0,0.00
2021-02-03,5,5.00,1.00,5,5.00,0,0.00
2021-02-04,3,3.00,1.00,3,3.00,0,0.00
2021-02-05,6,4.00,0.64,5,5.00,1,-1.00
2021-02-06,2,2.00,1.00,2,2.00,0,0.00
2021-02-07,3,3.00,1.00,3,3.00,0,0.00
2021-02-08,4,4.00,1.00,4,4.00,0,0.00
2021-02-09,3,1.00,0.40,2,2.00,1,-1.00
2021-02-10,4,2.00,0.54,3,3.00,1,-1.00
2021-02-16,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,1,1.00,1.00,1,1.00,0,0.00
2021-02-18,3,3.00,1.00,3,3.00,0,0.00
2021-02-19,3,1.00,0.33,2,2.00,1,-1.00
2021-02-20,2,2.00,1.00,2,2.00,0,0.00
2021-02-22,7,5.00,0.81,6,6.00,1,-1.00
2021-02-23,4,4.00,1.00,4,4.00,0,0.00
2021-02-24,5,3.00,0.65,4,4.00,1,-1.00
2021-02-25,2,2.00,1.00,2,2.00,0,0.00
2021-02-26,3,1.00,0.17,2,2.00,1,-1.00
2021-02-27,4,4.00,1.00,4,4.00,0,0.00
2021-02-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-01,1,1.00,1.00,1,1.00,0,0.00
2021-03-02,4,2.00,0.23,3,3.00,1,-1.00
2021-03-03,9,1.00,0.21,5,5.00,4,-4.00
2021-03-04,12,4.00,0.92,8,8.00,4,-4.00
2021-03-05,8,4.00,0.57,6,6.00,2,-2.00
2021-03-06,3,3.00,1.00,3,3.00,0,0.00
2021-03-07,3,3.00,1.00,3,3.00,0,0.00
2021-03-08,14,8.00,0.50,11,11.00,3,-3.00
2021-03-09,11,9.00,0.90,10,10.00,1,-1.00
2021-03-10,32,26.00,0.92,29,29.00,3,-3.00
2021-03-11,22,20.00,0.94,21,21.00,1,-1.00
2021-03-12,5,3.00,0.82,4,4.00,1,-1.00
2021-03-13,2,2.00,1.00,2,2.00,0,0.00
2021-03-14,1,1.00,1.00,1,1.00,0,0.00
2021-03-15,5,3.00,0.90,4,4.00,1,-1.00
2021-03-16,6,6.00,1.00,6,6.00,0,0.00
2021-03-17,2,2.00,1.00,2,2.00,0,0.00
2021-03-18,4,4.00,1.00,4,4.00,0,0.00
2021-03-19,4,4.00,1.00,4,4.00,0,0.00
2021-03-20,2,2.00,1.00,2,2.00,0,0.00
2021-03-21,2,2.00,1.00,2,2.00,0,0.00
2021-03-22,2,2.00,1.00,2,2.00,0,0.00
2021-03-23,4,2.00,0.62,3,3.00,1,-1.00
2021-03-24,4,2.00,0.56,3,3.00,1,-1.00
2021-03-25,7,5.00,0.64,6,6.00,1,-1.00
2021-03-26,4,2.00,0.54,3,3.00,1,-1.00
2021-03-27,1,1.00,1.00,1,1.00,0,0.00
2021-03-28,3,3.00,1.00,3,3.00,0,0.00
2021-03-30,5,5.00,1.00,5,5.00,0,0.00
2021-03-31,3,3.00,1.00,3,3.00,0,0.00
2021-04-01,3,3.00,1.00,3,3.00,0,0.00
2021-04-02,4,4.00,1.00,4,4.00,0,0.00
2021-04-03,3,1.00,0.45,2,2.00,1,-1.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,1,1.00,1.00,1,1.00,0,0.00
2021-04-07,5,5.00,1.00,5,5.00,0,0.00
2021-04-08,3,3.00,1.00,3,3.00,0,0.00
2021-04-09,13,11.00,0.88,12,12.00,1,-1.00
2021-04-10,4,4.00,1.00,4,4.00,0,0.00
2021-04-11,1,1.00,1.00,1,1.00,0,0.00
2021-04-12,6,6.00,1.00,6,6.00,0,0.00
2021-04-13,5,3.00,0.70,4,4.00,1,-1.00
2021-04-14,4,4.00,1.00,4,4.00,0,0.00
2021-04-15,3,3.00,1.00,3,3.00,0,0.00
2021-04-16,5,5.00,1.00,5,5.00,0,0.00
2021-04-17,2,2.00,1.00,2,2.00,0,0.00
2021-04-18,4,4.00,1.00,4,4.00,0,0.00
2021-04-19,1,-1.00,-1.00,0,0.00,1,-1.00
2021-04-20,6,6.00,1.00,6,6.00,0,0.00
2021-04-21,7,7.00,1.00,7,7.00,0,0.00
2021-04-22,6,6.00,1.00,6,6.00,0,0.00
2021-04-23,4,4.00,1.00,4,4.00,0,0.00
2021-04-24,3,3.00,1.00,3,3.00,0,0.00
2021-04-25,3,3.00,1.00,3,3.00,0,0.00
2021-04-26,1,1.00,1.00,1,1.00,0,0.00
2021-04-27,40,38.00,-0.10,39,39.00,1,-1.00
2021-04-28,16,14.00,0.99,15,15.00,1,-1.00
2021-04-29,14,12.00,0.88,13,13.00,1,-1.00
2021-04-30,15,11.00,0.84,13,13.00,2,-2.00
2021-05-01,2,2.00,1.00,2,2.00,0,0.00
2021-05-05,5,3.00,0.96,4,4.00,1,-1.00
2021-05-06,5,3.00,0.78,4,4.00,1,-1.00
2021-05-07,12,8.00,0.71,10,10.00,2,-2.00
2021-05-08,3,3.00,1.00,3,3.00,0,0.00
2021-05-09,1,1.00,1.00,1,1.00,0,0.00
2021-05-10,13,-1.00,-0.03,6,6.00,7,-7.00
2021-05-11,22,10.00,0.47,16,16.00,6,-6.00
2021-05-12,24,14.00,0.59,19,19.00,5,-5.00
2021-05-13,12,6.00,0.86,9,9.00,3,-3.00
2021-05-14,16,8.00,0.56,12,12.00,4,-4.00
2021-05-15,3,3.00,1.00,3,3.00,0,0.00
2021-05-16,2,2.00,1.00,2,2.00,0,0.00
2021-05-17,12,8.00,0.69,10,10.00,2,-2.00
2021-05-18,10,8.00,0.96,9,9.00,1,-1.00
2021-05-19,5,5.00,1.00,5,5.00,0,0.00
2021-05-20,7,3.00,0.45,5,5.00,2,-2.00
2021-05-21,3,1.00,0.44,2,2.00,1,-1.00
2021-05-22,2,2.00,1.00,2,2.00,0,0.00
2021-05-23,2,2.00,1.00,2,2.00,0,0.00
2021-05-24,7,5.00,0.79,6,6.00,1,-1.00
2021-05-25,8,6.00,0.73,7,7.00,1,-1.00
2021-05-26,15,5.00,-0.12,10,10.00,5,-5.00
2021-05-27,9,7.00,0.78,8,8.00,1,-1.00
2021-05-28,8,6.00,0.73,7,7.00,1,-1.00
2021-05-29,3,3.00,1.00,3,3.00,0,0.00
2021-05-30,3,3.00,1.00,3,3.00,0,0.00
2021-05-31,5,3.00,0.77,4,4.00,1,-1.00
2021-06-01,7,3.00,0.57,5,5.00,2,-2.00
2021-06-02,8,4.00,0.50,6,6.00,2,-2.00
2021-06-03,4,2.00,0.65,3,3.00,1,-1.00
2021-06-04,12,10.00,0.87,11,11.00,1,-1.00
2021-06-05,3,1.00,0.30,2,2.00,1,-1.00
2021-06-06,3,3.00,1.00,3,3.00,0,0.00
2021-06-07,6,4.00,0.94,5,5.00,1,-1.00
2021-06-08,4,4.00,1.00,4,4.00,0,0.00
2021-06-09,1,1.00,1.00,1,1.00,0,0.00
2021-06-10,2,2.00,1.00,2,2.00,0,0.00
2021-06-11,4,2.00,0.58,3,3.00,1,-1.00
2021-06-12,3,3.00,1.00,3,3.00,0,0.00
2021-06-13,3,3.00,1.00,3,3.00,0,0.00
2021-06-14,1,1.00,1.00,1,1.00,0,0.00
2021-06-15,3,3.00,1.00,3,3.00,0,0.00
2021-06-16,4,4.00,1.00,4,4.00,0,0.00
2021-06-17,3,1.00,0.20,2,2.00,1,-1.00
2021-06-18,5,5.00,1.00,5,5.00,0,0.00
2021-06-19,3,3.00,1.00,3,3.00,0,0.00
2021-06-20,5,5.00,1.00,5,5.00,0,0.00
2021-06-21,8,4.00,0.42,6,6.00,2,-2.00
2021-06-22,6,6.00,1.00,6,6.00,0,0.00
2021-06-23,6,6.00,1.00,6,6.00,0,0.00
2021-06-24,5,3.00,0.62,4,4.00,1,-1.00
2021-06-25,3,3.00,1.00,3,3.00,0,0.00
2021-06-26,2,2.00,1.00,2,2.00,0,0.00
2021-06-27,2,2.00,1.00,2,2.00,0,0.00
2021-06-28,4,4.00,1.00,4,4.00,0,0.00
2021-06-29,5,3.00,0.70,4,4.00,1,-1.00
2021-06-30,12,10.00,0.89,11,11.00,1,-1.00
2021-07-01,4,4.00,1.00,4,4.00,0,0.00
2021-07-02,6,4.00,0.70,5,5.00,1,-1.00
2021-07-03,1,1.00,1.00,1,1.00,0,0.00
2021-07-04,1,1.00,1.00,1,1.00,0,0.00
2021-07-05,2,2.00,1.00,2,2.00,0,0.00
2021-07-06,2,2.00,1.00,2,2.00,0,0.00
2021-07-07,4,4.00,1.00,4,4.00,0,0.00
2021-07-08,5,5.00,1.00,5,5.00,0,0.00
2021-07-09,4,2.00,0.50,3,3.00,1,-1.00
2021-07-10,2,2.00,1.00,2,2.00,0,0.00
2021-07-11,4,4.00,1.00,4,4.00,0,0.00
2021-07-12,5,5.00,1.00,5,5.00,0,0.00
2021-07-13,6,6.00,1.00,6,6.00,0,0.00
2021-07-14,5,3.00,0.66,4,4.00,1,-1.00
2021-07-15,5,3.00,0.65,4,4.00,1,-1.00
2021-07-16,4,4.00,1.00,4,4.00,0,0.00
2021-07-17,2,2.00,1.00,2,2.00,0,0.00
2021-07-18,2,2.00,1.00,2,2.00,0,0.00
2021-07-19,2,2.00,1.00,2,2.00,0,0.00
2021-07-20,6,4.00,0.65,5,5.00,1,-1.00
2021-07-21,7,5.00,0.86,6,6.00,1,-1.00
2021-07-22,2,0.00,0.05,1,1.00,1,-1.00
2021-07-23,8,6.00,0.80,7,7.00,1,-1.00
2021-07-24,4,4.00,1.00,4,4.00,0,0.00
2021-07-25,3,1.00,0.43,2,2.00,1,-1.00
2021-07-26,7,5.00,0.71,6,6.00,1,-1.00
2021-07-27,4,2.00,0.18,3,3.00,1,-1.00
2021-07-28,3,3.00,1.00,3,3.00,0,0.00
2021-07-29,13,13.00,1.00,13,13.00,0,0.00
2021-07-30,8,4.00,0.53,6,6.00,2,-2.00
2021-07-31,2,2.00,1.00,2,2.00,0,0.00
2021-08-01,2,2.00,1.00,2,2.00,0,0.00
2021-08-02,3,3.00,1.00,3,3.00,0,0.00
2021-08-03,6,4.00,0.70,5,5.00,1,-1.00
2021-08-04,7,5.00,0.67,6,6.00,1,-1.00
2021-08-05,2,2.00,1.00,2,2.00,0,0.00
2021-08-06,4,4.00,1.00,4,4.00,0,0.00
2021-08-07,2,2.00,1.00,2,2.00,0,0.00
2021-08-08,2,2.00,1.00,2,2.00,0,0.00
2021-08-09,8,6.00,0.71,7,7.00,1,-1.00
2021-08-10,3,3.00,1.00,3,3.00,0,0.00
2021-08-11,5,3.00,0.73,4,4.00,1,-1.00
2021-08-12,6,0.00,0.17,3,3.00,3,-3.00
2021-08-13,23,19.00,0.87,21,21.00,2,-2.00
2021-08-14,3,3.00,1.00,3,3.00,0,0.00
2021-08-15,2,2.00,1.00,2,2.00,0,0.00
2021-08-16,11,9.00,0.87,10,10.00,1,-1.00
2021-08-17,8,8.00,1.00,8,8.00,0,0.00
2021-08-18,23,11.00,0.49,17,17.00,6,-6.00
2021-08-19,11,7.00,0.68,9,9.00,2,-2.00
2021-08-20,1,1.00,1.00,1,1.00,0,0.00
2021-08-21,3,3.00,1.00,3,3.00,0,0.00
2021-08-22,2,2.00,1.00,2,2.00,0,0.00
2021-08-23,6,6.00,1.00,6,6.00,0,0.00
2021-08-24,7,5.00,0.73,6,6.00,1,-1.00
2021-08-25,11,3.00,0.29,7,7.00,4,-4.00
2021-08-26,13,11.00,0.81,12,12.00,1,-1.00
2021-08-27,32,30.00,0.94,31,31.00,1,-1.00
2021-08-28,7,7.00,1.00,7,7.00,0,0.00
2021-08-29,8,8.00,1.00,8,8.00,0,0.00
2021-08-30,23,17.00,0.67,20,20.00,3,-3.00
2021-08-31,12,10.00,0.85,11,11.00,1,-1.00
2021-09-01,8,6.00,0.92,7,7.00,1,-1.00
2021-09-02,6,2.00,0.39,4,4.00,2,-2.00
2021-09-03,4,4.00,1.00,4,4.00,0,0.00
2021-09-04,3,3.00,1.00,3,3.00,0,0.00
2021-09-05,1,1.00,1.00,1,1.00,0,0.00
2021-09-06,1,1.00,1.00,1,1.00,0,0.00
2021-09-07,9,5.00,0.58,7,7.00,2,-2.00
2021-09-08,6,6.00,1.00,6,6.00,0,0.00
2021-09-09,5,5.00,1.00,5,5.00,0,0.00
2021-09-10,6,6.00,1.00,6,6.00,0,0.00
2021-09-11,1,1.00,1.00,1,1.00,0,0.00
2021-09-12,2,2.00,1.00,2,2.00,0,0.00
2021-09-13,2,2.00,1.00,2,2.00,0,0.00
2021-09-14,3,3.00,1.00,3,3.00,0,0.00
2021-09-15,5,3.00,0.67,4,4.00,1,-1.00
2021-09-16,7,5.00,0.72,6,6.00,1,-1.00
2021-09-17,4,4.00,1.00,4,4.00,0,0.00
2021-09-18,1,1.00,1.00,1,1.00,0,0.00
2021-09-21,2,2.00,1.00,2,2.00,0,0.00
