time,all_num_星宇股份,all_dic_score,星宇股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-09-23,3,3.00,1.00,3,3.00,0,0.00
2021-09-24,6,2.00,0.34,4,4.00,2,-2.00
2021-09-25,3,3.00,1.00,3,3.00,0,0.00
2021-09-26,1,1.00,1.00,1,1.00,0,0.00
2021-09-27,1,1.00,1.00,1,1.00,0,0.00
2021-09-28,3,3.00,1.00,3,3.00,0,0.00
2021-09-29,4,0.00,-0.24,2,2.00,2,-2.00
2021-09-30,6,6.00,1.00,6,6.00,0,0.00
2021-10-01,2,2.00,1.00,2,2.00,0,0.00
2021-10-04,2,2.00,1.00,2,2.00,0,0.00
2021-10-07,2,2.00,1.00,2,2.00,0,0.00
2021-10-09,2,2.00,1.00,2,2.00,0,0.00
2021-10-11,3,1.00,0.44,2,2.00,1,-1.00
2021-10-12,6,6.00,1.00,6,6.00,0,0.00
2021-10-13,4,4.00,1.00,4,4.00,0,0.00
2021-10-14,9,9.00,1.00,9,9.00,0,0.00
2021-10-15,4,4.00,1.00,4,4.00,0,0.00
2021-10-16,2,2.00,1.00,2,2.00,0,0.00
2021-10-17,3,3.00,1.00,3,3.00,0,0.00
2021-10-18,3,3.00,1.00,3,3.00,0,0.00
2021-10-19,3,3.00,1.00,3,3.00,0,0.00
2021-10-20,2,2.00,1.00,2,2.00,0,0.00
2021-10-21,2,2.00,1.00,2,2.00,0,0.00
2021-10-22,3,1.00,0.25,2,2.00,1,-1.00
2021-10-23,3,3.00,1.00,3,3.00,0,0.00
2021-10-24,2,2.00,1.00,2,2.00,0,0.00
2021-10-25,2,2.00,1.00,2,2.00,0,0.00
2021-10-26,9,9.00,1.00,9,9.00,0,0.00
2021-10-27,4,4.00,1.00,4,4.00,0,0.00
2021-10-28,3,3.00,1.00,3,3.00,0,0.00
2021-10-29,11,9.00,0.89,10,10.00,1,-1.00
2021-10-30,6,6.00,1.00,6,6.00,0,0.00
2021-10-31,5,5.00,1.00,5,5.00,0,0.00
2021-11-01,10,8.00,0.83,9,9.00,1,-1.00
2021-11-02,4,4.00,1.00,4,4.00,0,0.00
2021-11-03,4,4.00,1.00,4,4.00,0,0.00
2021-11-04,5,5.00,1.00,5,5.00,0,0.00
2021-11-05,3,3.00,1.00,3,3.00,0,0.00
2021-11-06,3,3.00,1.00,3,3.00,0,0.00
2021-11-07,2,2.00,1.00,2,2.00,0,0.00
2021-11-09,6,6.00,1.00,6,6.00,0,0.00
2021-11-10,4,4.00,1.00,4,4.00,0,0.00
2021-11-11,4,4.00,1.00,4,4.00,0,0.00
2021-11-12,3,3.00,1.00,3,3.00,0,0.00
2021-11-13,2,2.00,1.00,2,2.00,0,0.00
2021-11-14,3,3.00,1.00,3,3.00,0,0.00
2021-11-16,2,2.00,1.00,2,2.00,0,0.00
2021-11-17,2,2.00,1.00,2,2.00,0,0.00
2021-11-18,8,6.00,0.68,7,7.00,1,-1.00
2021-11-19,2,2.00,1.00,2,2.00,0,0.00
2021-11-20,2,2.00,1.00,2,2.00,0,0.00
2021-11-21,3,3.00,1.00,3,3.00,0,0.00
2021-11-22,3,1.00,0.21,2,2.00,1,-1.00
2021-11-23,3,3.00,1.00,3,3.00,0,0.00
2021-11-24,2,2.00,1.00,2,2.00,0,0.00
2021-11-25,5,5.00,1.00,5,5.00,0,0.00
2021-11-26,3,3.00,1.00,3,3.00,0,0.00
2021-11-27,2,2.00,1.00,2,2.00,0,0.00
2021-11-28,3,1.00,0.39,2,2.00,1,-1.00
2021-11-29,1,1.00,1.00,1,1.00,0,0.00
2021-11-30,3,3.00,1.00,3,3.00,0,0.00
2021-12-01,2,2.00,1.00,2,2.00,0,0.00
2021-12-02,2,2.00,1.00,2,2.00,0,0.00
2021-12-03,2,2.00,1.00,2,2.00,0,0.00
2021-12-04,1,1.00,1.00,1,1.00,0,0.00
2021-12-05,2,2.00,1.00,2,2.00,0,0.00
2021-12-07,3,3.00,1.00,3,3.00,0,0.00
2021-12-08,1,1.00,1.00,1,1.00,0,0.00
2021-12-09,6,4.00,0.41,5,5.00,1,-1.00
2021-12-10,10,10.00,1.00,10,10.00,0,0.00
2021-12-11,2,2.00,1.00,2,2.00,0,0.00
2021-12-12,2,2.00,1.00,2,2.00,0,0.00
2021-12-14,2,2.00,1.00,2,2.00,0,0.00
2021-12-15,4,4.00,1.00,4,4.00,0,0.00
2021-12-16,3,3.00,1.00,3,3.00,0,0.00
2021-12-17,5,5.00,1.00,5,5.00,0,0.00
2021-12-18,1,1.00,1.00,1,1.00,0,0.00
2021-12-19,2,2.00,1.00,2,2.00,0,0.00
2021-12-20,4,2.00,0.46,3,3.00,1,-1.00
2021-12-21,3,3.00,1.00,3,3.00,0,0.00
2021-12-22,6,6.00,1.00,6,6.00,0,0.00
2021-12-23,7,7.00,1.00,7,7.00,0,0.00
2021-12-24,2,2.00,1.00,2,2.00,0,0.00
2021-12-25,1,1.00,1.00,1,1.00,0,0.00
2021-12-26,2,2.00,1.00,2,2.00,0,0.00
2021-12-27,2,0.00,0.25,1,1.00,1,-1.00
2021-12-28,2,2.00,1.00,2,2.00,0,0.00
2021-12-29,4,4.00,1.00,4,4.00,0,0.00
2021-12-30,4,0.00,-0.43,2,2.00,2,-2.00
2021-12-31,3,1.00,0.00,2,2.00,1,-1.00
2022-01-01,3,1.00,0.56,2,2.00,1,-1.00
2022-01-03,2,2.00,1.00,2,2.00,0,0.00
2022-01-04,1,1.00,1.00,1,1.00,0,0.00
2022-01-05,4,4.00,1.00,4,4.00,0,0.00
2022-01-06,6,4.00,0.60,5,5.00,1,-1.00
2022-01-07,4,4.00,1.00,4,4.00,0,0.00
2022-01-08,2,2.00,1.00,2,2.00,0,0.00
2022-01-09,3,3.00,1.00,3,3.00,0,0.00
2022-01-10,2,2.00,1.00,2,2.00,0,0.00
2022-01-11,4,2.00,0.18,3,3.00,1,-1.00
2022-01-12,7,7.00,1.00,7,7.00,0,0.00
2022-01-13,4,4.00,1.00,4,4.00,0,0.00
2022-01-14,3,3.00,1.00,3,3.00,0,0.00
2022-01-15,2,2.00,1.00,2,2.00,0,0.00
2022-01-16,2,2.00,1.00,2,2.00,0,0.00
2022-01-17,2,0.00,-0.31,1,1.00,1,-1.00
2022-01-18,5,3.00,0.40,4,4.00,1,-1.00
2022-01-19,6,6.00,1.00,6,6.00,0,0.00
2022-01-20,4,4.00,1.00,4,4.00,0,0.00
2022-01-21,5,5.00,1.00,5,5.00,0,0.00
2022-01-22,2,2.00,1.00,2,2.00,0,0.00
2022-01-23,2,2.00,1.00,2,2.00,0,0.00
2022-01-24,2,0.00,0.03,1,1.00,1,-1.00
2022-01-25,3,3.00,1.00,3,3.00,0,0.00
2022-01-26,4,4.00,1.00,4,4.00,0,0.00
2022-01-27,5,5.00,1.00,5,5.00,0,0.00
2022-01-28,3,3.00,1.00,3,3.00,0,0.00
2022-01-29,2,2.00,1.00,2,2.00,0,0.00
2022-02-07,2,2.00,1.00,2,2.00,0,0.00
2022-02-08,10,10.00,1.00,10,10.00,0,0.00
2022-02-09,13,7.00,0.56,10,10.00,3,-3.00
2022-02-10,8,2.00,0.32,5,5.00,3,-3.00
2022-02-11,4,2.00,0.52,3,3.00,1,-1.00
2022-02-12,3,3.00,1.00,3,3.00,0,0.00
2022-02-13,2,2.00,1.00,2,2.00,0,0.00
2022-02-14,3,1.00,0.47,2,2.00,1,-1.00
2022-02-15,2,2.00,1.00,2,2.00,0,0.00
2022-02-16,5,3.00,0.52,4,4.00,1,-1.00
2022-02-17,4,4.00,1.00,4,4.00,0,0.00
2022-02-18,10,6.00,0.63,8,8.00,2,-2.00
2022-02-19,2,2.00,1.00,2,2.00,0,0.00
2022-02-20,2,2.00,1.00,2,2.00,0,0.00
2022-02-21,8,6.00,0.93,7,7.00,1,-1.00
2022-02-22,15,15.00,1.00,15,15.00,0,0.00
2022-02-23,16,14.00,0.91,15,15.00,1,-1.00
2022-02-24,6,4.00,0.72,5,5.00,1,-1.00
2022-02-25,12,12.00,1.00,12,12.00,0,0.00
2022-02-26,2,2.00,1.00,2,2.00,0,0.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,2,0.00,0.32,1,1.00,1,-1.00
2022-03-01,5,5.00,1.00,5,5.00,0,0.00
2022-03-02,2,2.00,1.00,2,2.00,0,0.00
2022-03-03,15,9.00,0.50,12,12.00,3,-3.00
2022-03-04,8,6.00,0.61,7,7.00,1,-1.00
2022-03-05,2,2.00,1.00,2,2.00,0,0.00
2022-03-06,6,2.00,0.28,4,4.00,2,-2.00
2022-03-07,6,0.00,0.15,3,3.00,3,-3.00
2022-03-08,11,11.00,1.00,11,11.00,0,0.00
2022-03-09,6,6.00,1.00,6,6.00,0,0.00
2022-03-10,21,13.00,0.67,17,17.00,4,-4.00
2022-03-11,6,4.00,0.60,5,5.00,1,-1.00
2022-03-12,7,7.00,1.00,7,7.00,0,0.00
2022-03-13,2,2.00,1.00,2,2.00,0,0.00
2022-03-14,9,9.00,1.00,9,9.00,0,0.00
2022-03-15,12,8.00,0.72,10,10.00,2,-2.00
2022-03-16,18,18.00,1.00,18,18.00,0,0.00
2022-03-17,8,6.00,0.82,7,7.00,1,-1.00
2022-03-18,6,6.00,1.00,6,6.00,0,0.00
2022-03-19,2,2.00,1.00,2,2.00,0,0.00
2022-03-20,2,2.00,1.00,2,2.00,0,0.00
2022-03-21,2,2.00,1.00,2,2.00,0,0.00
2022-03-22,6,2.00,0.18,4,4.00,2,-2.00
2022-03-23,11,11.00,1.00,11,11.00,0,0.00
2022-03-24,8,8.00,1.00,8,8.00,0,0.00
2022-03-25,46,44.00,0.96,45,45.00,1,-1.00
2022-03-26,3,3.00,1.00,3,3.00,0,0.00
2022-03-27,13,13.00,1.00,13,13.00,0,0.00
2022-03-28,53,37.00,0.78,45,45.00,8,-8.00
2022-03-29,17,11.00,0.62,14,14.00,3,-3.00
2022-03-30,6,4.00,0.52,5,5.00,1,-1.00
2022-03-31,5,3.00,0.51,4,4.00,1,-1.00
2022-04-01,6,6.00,1.00,6,6.00,0,0.00
2022-04-02,2,2.00,1.00,2,2.00,0,0.00
2022-04-03,1,1.00,1.00,1,1.00,0,0.00
2022-04-04,2,2.00,1.00,2,2.00,0,0.00
2022-04-05,4,2.00,0.56,3,3.00,1,-1.00
2022-04-06,16,14.00,0.85,15,15.00,1,-1.00
2022-04-07,10,8.00,0.75,9,9.00,1,-1.00
2022-04-08,7,7.00,1.00,7,7.00,0,0.00
2022-04-09,2,2.00,1.00,2,2.00,0,0.00
2022-04-10,6,4.00,0.94,5,5.00,1,-1.00
2022-04-11,12,8.00,0.63,10,10.00,2,-2.00
2022-04-12,11,9.00,0.90,10,10.00,1,-1.00
2022-04-13,7,3.00,0.30,5,5.00,2,-2.00
2022-04-14,10,4.00,0.37,7,7.00,3,-3.00
2022-04-15,15,15.00,1.00,15,15.00,0,0.00
2022-04-16,3,3.00,1.00,3,3.00,0,0.00
2022-04-17,1,1.00,1.00,1,1.00,0,0.00
2022-04-18,7,5.00,0.78,6,6.00,1,-1.00
2022-04-19,10,6.00,0.80,8,8.00,2,-2.00
2022-04-20,4,4.00,1.00,4,4.00,0,0.00
2022-04-21,7,7.00,1.00,7,7.00,0,0.00
2022-04-22,5,5.00,1.00,5,5.00,0,0.00
2022-04-23,2,2.00,1.00,2,2.00,0,0.00
2022-04-24,2,2.00,1.00,2,2.00,0,0.00
2022-04-25,3,1.00,0.47,2,2.00,1,-1.00
2022-04-26,21,19.00,0.92,20,20.00,1,-1.00
2022-04-27,24,22.00,0.90,23,23.00,1,-1.00
2022-04-28,33,27.00,0.74,30,30.00,3,-3.00
2022-04-29,13,11.00,0.89,12,12.00,1,-1.00
2022-04-30,4,4.00,1.00,4,4.00,0,0.00
2022-05-01,3,3.00,1.00,3,3.00,0,0.00
2022-05-04,2,2.00,1.00,2,2.00,0,0.00
2022-05-05,6,6.00,1.00,6,6.00,0,0.00
2022-05-06,5,3.00,0.72,4,4.00,1,-1.00
2022-05-07,2,2.00,1.00,2,2.00,0,0.00
2022-05-09,2,2.00,1.00,2,2.00,0,0.00
2022-05-10,3,1.00,0.04,2,2.00,1,-1.00
2022-05-11,5,3.00,0.30,4,4.00,1,-1.00
2022-05-12,6,4.00,0.63,5,5.00,1,-1.00
2022-05-13,4,4.00,1.00,4,4.00,0,0.00
2022-05-14,2,2.00,1.00,2,2.00,0,0.00
2022-05-15,2,2.00,1.00,2,2.00,0,0.00
2022-05-16,2,2.00,1.00,2,2.00,0,0.00
2022-05-17,6,4.00,0.54,5,5.00,1,-1.00
2022-05-18,4,2.00,0.30,3,3.00,1,-1.00
2022-05-19,3,3.00,1.00,3,3.00,0,0.00
2022-05-20,10,8.00,0.80,9,9.00,1,-1.00
2022-05-21,2,2.00,1.00,2,2.00,0,0.00
2022-05-22,2,2.00,1.00,2,2.00,0,0.00
2022-05-23,3,1.00,0.40,2,2.00,1,-1.00
2022-05-24,15,7.00,0.48,11,11.00,4,-4.00
2022-05-25,8,6.00,0.70,7,7.00,1,-1.00
2022-05-26,13,3.00,-0.40,8,8.00,5,-5.00
2022-05-27,6,6.00,1.00,6,6.00,0,0.00
2022-05-28,2,2.00,1.00,2,2.00,0,0.00
2022-05-29,2,2.00,1.00,2,2.00,0,0.00
2022-05-30,3,1.00,0.23,2,2.00,1,-1.00
2022-05-31,8,6.00,0.59,7,7.00,1,-1.00
2022-06-01,14,14.00,1.00,14,14.00,0,0.00
2022-06-02,10,8.00,0.88,9,9.00,1,-1.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-05,4,4.00,1.00,4,4.00,0,0.00
2022-06-06,5,3.00,0.58,4,4.00,1,-1.00
2022-06-07,5,5.00,1.00,5,5.00,0,0.00
2022-06-08,3,3.00,1.00,3,3.00,0,0.00
2022-06-09,5,1.00,0.08,3,3.00,2,-2.00
2022-06-10,7,7.00,1.00,7,7.00,0,0.00
2022-06-11,2,2.00,1.00,2,2.00,0,0.00
2022-06-12,2,2.00,1.00,2,2.00,0,0.00
2022-06-13,6,0.00,-0.11,3,3.00,3,-3.00
2022-06-14,8,6.00,0.44,7,7.00,1,-1.00
2022-06-15,3,3.00,1.00,3,3.00,0,0.00
2022-06-16,2,2.00,1.00,2,2.00,0,0.00
2022-06-17,5,5.00,1.00,5,5.00,0,0.00
2022-06-18,1,1.00,1.00,1,1.00,0,0.00
2022-06-19,3,3.00,1.00,3,3.00,0,0.00
2022-06-21,7,5.00,0.58,6,6.00,1,-1.00
2022-06-22,5,1.00,0.05,3,3.00,2,-2.00
2022-06-23,7,5.00,0.66,6,6.00,1,-1.00
2022-06-24,5,5.00,1.00,5,5.00,0,0.00
2022-06-25,2,2.00,1.00,2,2.00,0,0.00
2022-06-26,3,1.00,-0.07,2,2.00,1,-1.00
2022-06-28,3,1.00,-0.09,2,2.00,1,-1.00
2022-06-29,7,5.00,0.57,6,6.00,1,-1.00
2022-06-30,6,6.00,1.00,6,6.00,0,0.00
