time,all_num_特一药业,all_dic_score,特一药业舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-10-17,5,-3.00,0.26,1,1.00,4,-4.00
2021-10-18,16,2.00,0.10,9,9.00,7,-7.00
2021-10-19,33,13.00,0.51,23,23.00,10,-10.00
2021-10-20,24,4.00,0.31,14,14.00,10,-10.00
2021-10-21,34,12.00,0.47,23,23.00,11,-11.00
2021-10-22,20,2.00,0.33,11,11.00,9,-9.00
2021-10-23,1,-1.00,-1.00,0,0.00,1,-1.00
2021-10-24,5,1.00,0.48,3,3.00,2,-2.00
2021-10-25,26,4.00,0.28,15,15.00,11,-11.00
2021-10-26,20,8.00,0.49,14,14.00,6,-6.00
2021-10-27,21,1.00,0.19,11,11.00,10,-10.00
2021-10-28,29,11.00,0.48,20,20.00,9,-9.00
2021-10-29,8,4.00,0.61,6,6.00,2,-2.00
2021-10-30,6,4.00,0.85,5,5.00,1,-1.00
2021-10-31,5,3.00,0.76,4,4.00,1,-1.00
2021-11-01,17,7.00,0.62,12,12.00,5,-5.00
2021-11-02,18,8.00,0.54,13,13.00,5,-5.00
2021-11-03,9,5.00,0.68,7,7.00,2,-2.00
2021-11-04,4,2.00,0.78,3,3.00,1,-1.00
2021-11-05,8,2.00,0.18,5,5.00,3,-3.00
2021-11-06,3,1.00,0.33,2,2.00,1,-1.00
2021-11-08,9,-1.00,0.37,4,4.00,5,-5.00
2021-11-09,8,6.00,0.66,7,7.00,1,-1.00
2021-11-10,12,8.00,0.81,10,10.00,2,-2.00
2021-11-11,16,2.00,0.20,9,9.00,7,-7.00
2021-11-12,3,-1.00,-0.36,1,1.00,2,-2.00
2021-11-13,2,0.00,0.10,1,1.00,1,-1.00
2021-11-14,1,1.00,1.00,1,1.00,0,0.00
2021-11-15,93,23.00,0.41,58,58.00,35,-35.00
2021-11-16,124,48.00,0.52,86,86.00,38,-38.00
2021-11-17,199,59.00,0.38,129,129.00,70,-70.00
2021-11-18,281,83.00,0.46,182,182.00,99,-99.00
2021-11-19,193,61.00,0.26,127,127.00,66,-66.00
2021-11-20,25,13.00,0.52,19,19.00,6,-6.00
2021-11-21,22,12.00,0.58,17,17.00,5,-5.00
2021-11-22,80,34.00,0.49,57,57.00,23,-23.00
2021-11-23,97,19.00,0.25,58,58.00,39,-39.00
2021-11-24,106,24.00,0.45,65,65.00,41,-41.00
2021-11-25,130,44.00,0.54,87,87.00,43,-43.00
2021-11-26,67,29.00,0.60,48,48.00,19,-19.00
2021-11-27,7,1.00,0.26,4,4.00,3,-3.00
2021-11-28,11,7.00,0.59,9,9.00,2,-2.00
2021-11-29,52,-6.00,0.45,23,23.00,29,-29.00
2021-11-30,61,19.00,0.38,40,40.00,21,-21.00
2021-12-01,79,33.00,0.54,56,56.00,23,-23.00
2021-12-02,40,4.00,0.28,22,22.00,18,-18.00
2021-12-03,32,12.00,0.55,22,22.00,10,-10.00
2021-12-04,6,6.00,1.00,6,6.00,0,0.00
2021-12-05,8,4.00,0.63,6,6.00,2,-2.00
2021-12-06,40,4.00,0.21,22,22.00,18,-18.00
2021-12-07,21,3.00,0.13,12,12.00,9,-9.00
2021-12-08,14,0.00,0.04,7,7.00,7,-7.00
2021-12-09,76,26.00,0.43,51,51.00,25,-25.00
2021-12-10,49,21.00,0.48,35,35.00,14,-14.00
2021-12-11,2,0.00,0.28,1,1.00,1,-1.00
2021-12-12,11,5.00,0.42,8,8.00,3,-3.00
2021-12-13,24,8.00,0.46,16,16.00,8,-8.00
2021-12-14,35,17.00,0.63,26,26.00,9,-9.00
2021-12-15,27,1.00,0.21,14,14.00,13,-13.00
2021-12-16,28,8.00,0.46,18,18.00,10,-10.00
2021-12-17,31,17.00,0.66,24,24.00,7,-7.00
2021-12-18,10,2.00,0.51,6,6.00,4,-4.00
2021-12-19,4,4.00,1.00,4,4.00,0,0.00
2021-12-20,58,16.00,0.31,37,37.00,21,-21.00
2021-12-21,60,22.00,0.36,41,41.00,19,-19.00
2021-12-22,66,28.00,0.61,47,47.00,19,-19.00
2021-12-23,74,34.00,0.38,54,54.00,20,-20.00
2021-12-24,74,10.00,0.20,42,42.00,32,-32.00
2021-12-25,10,8.00,0.63,9,9.00,1,-1.00
2021-12-26,9,7.00,0.64,8,8.00,1,-1.00
2021-12-27,90,28.00,0.33,59,59.00,31,-31.00
2021-12-28,156,62.00,0.58,109,109.00,47,-47.00
2021-12-29,98,20.00,0.29,59,59.00,39,-39.00
2021-12-30,56,12.00,0.23,34,34.00,22,-22.00
2021-12-31,74,32.00,0.64,53,53.00,21,-21.00
2022-01-01,6,2.00,0.83,4,4.00,2,-2.00
2022-01-02,7,3.00,0.69,5,5.00,2,-2.00
2022-01-03,11,7.00,0.75,9,9.00,2,-2.00
2022-01-04,79,23.00,0.20,51,51.00,28,-28.00
2022-01-05,108,42.00,0.57,75,75.00,33,-33.00
2022-01-06,43,17.00,0.52,30,30.00,13,-13.00
2022-01-07,56,12.00,0.37,34,34.00,22,-22.00
2022-01-08,5,3.00,0.66,4,4.00,1,-1.00
2022-01-09,6,4.00,0.60,5,5.00,1,-1.00
2022-01-10,75,25.00,0.35,50,50.00,25,-25.00
2022-01-11,96,32.00,0.47,64,64.00,32,-32.00
2022-01-12,87,43.00,0.67,65,65.00,22,-22.00
2022-01-13,139,63.00,0.62,101,101.00,38,-38.00
2022-01-14,102,16.00,0.30,59,59.00,43,-43.00
2022-01-15,23,11.00,0.33,17,17.00,6,-6.00
2022-01-16,19,5.00,0.33,12,12.00,7,-7.00
2022-01-17,76,16.00,0.27,46,46.00,30,-30.00
2022-01-18,65,9.00,0.27,37,37.00,28,-28.00
2022-01-19,57,23.00,0.57,40,40.00,17,-17.00
2022-01-20,67,29.00,0.55,48,48.00,19,-19.00
2022-01-21,42,6.00,0.24,24,24.00,18,-18.00
2022-01-22,8,8.00,1.00,8,8.00,0,0.00
2022-01-23,5,3.00,0.53,4,4.00,1,-1.00
2022-01-24,26,14.00,0.62,20,20.00,6,-6.00
2022-01-25,35,7.00,0.26,21,21.00,14,-14.00
2022-01-26,13,5.00,0.49,9,9.00,4,-4.00
2022-01-27,23,11.00,0.69,17,17.00,6,-6.00
2022-01-28,16,0.00,0.26,8,8.00,8,-8.00
2022-01-29,2,0.00,0.09,1,1.00,1,-1.00
2022-01-30,1,1.00,1.00,1,1.00,0,0.00
2022-01-31,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-01,2,0.00,0.24,1,1.00,1,-1.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-03,2,2.00,1.00,2,2.00,0,0.00
2022-02-05,1,1.00,1.00,1,1.00,0,0.00
2022-02-06,1,1.00,1.00,1,1.00,0,0.00
2022-02-07,10,8.00,0.84,9,9.00,1,-1.00
2022-02-08,27,1.00,0.09,14,14.00,13,-13.00
2022-02-09,24,8.00,0.53,16,16.00,8,-8.00
2022-02-10,15,3.00,0.23,9,9.00,6,-6.00
2022-02-11,52,14.00,0.24,33,33.00,19,-19.00
2022-02-12,6,6.00,1.00,6,6.00,0,0.00
2022-02-13,5,3.00,0.51,4,4.00,1,-1.00
2022-02-14,16,10.00,0.71,13,13.00,3,-3.00
2022-02-15,22,10.00,0.50,16,16.00,6,-6.00
2022-02-16,18,10.00,0.63,14,14.00,4,-4.00
2022-02-17,27,5.00,0.25,16,16.00,11,-11.00
2022-02-18,15,1.00,0.28,8,8.00,7,-7.00
2022-02-19,2,2.00,1.00,2,2.00,0,0.00
2022-02-20,1,1.00,1.00,1,1.00,0,0.00
2022-02-21,16,6.00,0.38,11,11.00,5,-5.00
2022-02-22,10,6.00,0.60,8,8.00,2,-2.00
2022-02-23,11,5.00,0.58,8,8.00,3,-3.00
2022-02-24,23,-1.00,-0.02,11,11.00,12,-12.00
2022-02-25,13,5.00,0.52,9,9.00,4,-4.00
2022-02-26,3,3.00,1.00,3,3.00,0,0.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,9,1.00,-0.29,5,5.00,4,-4.00
2022-03-01,11,3.00,0.34,7,7.00,4,-4.00
2022-03-02,15,5.00,0.44,10,10.00,5,-5.00
2022-03-03,27,19.00,0.79,23,23.00,4,-4.00
2022-03-04,30,6.00,0.24,18,18.00,12,-12.00
2022-03-05,2,0.00,0.36,1,1.00,1,-1.00
2022-03-06,1,-1.00,-1.00,0,0.00,1,-1.00
2022-03-07,18,4.00,0.22,11,11.00,7,-7.00
2022-03-08,22,10.00,0.56,16,16.00,6,-6.00
2022-03-09,18,10.00,0.62,14,14.00,4,-4.00
2022-03-10,18,12.00,0.75,15,15.00,3,-3.00
2022-03-11,18,8.00,0.54,13,13.00,5,-5.00
2022-03-12,8,6.00,0.77,7,7.00,1,-1.00
2022-03-13,1,1.00,1.00,1,1.00,0,0.00
2022-03-14,67,55.00,0.86,61,61.00,6,-6.00
2022-03-15,45,21.00,0.52,33,33.00,12,-12.00
2022-03-16,75,43.00,0.81,59,59.00,16,-16.00
2022-03-17,51,29.00,0.65,40,40.00,11,-11.00
2022-03-18,91,55.00,0.06,73,73.00,18,-18.00
2022-03-19,11,11.00,1.00,11,11.00,0,0.00
2022-03-20,10,6.00,0.63,8,8.00,2,-2.00
2022-03-21,71,33.00,0.67,52,52.00,19,-19.00
2022-03-22,77,51.00,0.77,64,64.00,13,-13.00
2022-03-23,42,26.00,0.68,34,34.00,8,-8.00
2022-03-24,62,26.00,0.53,44,44.00,18,-18.00
2022-03-25,82,46.00,0.61,64,64.00,18,-18.00
2022-03-26,9,3.00,0.38,6,6.00,3,-3.00
2022-03-27,5,3.00,0.79,4,4.00,1,-1.00
2022-03-28,56,30.00,0.65,43,43.00,13,-13.00
2022-03-29,25,17.00,0.83,21,21.00,4,-4.00
2022-03-30,70,50.00,0.81,60,60.00,10,-10.00
2022-03-31,56,36.00,0.71,46,46.00,10,-10.00
2022-04-01,34,20.00,0.71,27,27.00,7,-7.00
2022-04-02,6,4.00,0.77,5,5.00,1,-1.00
2022-04-03,3,3.00,1.00,3,3.00,0,0.00
2022-04-04,2,2.00,1.00,2,2.00,0,0.00
2022-04-05,3,1.00,0.71,2,2.00,1,-1.00
2022-04-06,27,9.00,0.41,18,18.00,9,-9.00
2022-04-07,31,21.00,0.74,26,26.00,5,-5.00
2022-04-08,82,32.00,0.56,57,57.00,25,-25.00
2022-04-09,5,1.00,0.25,3,3.00,2,-2.00
2022-04-10,6,2.00,0.33,4,4.00,2,-2.00
2022-04-11,23,11.00,0.21,17,17.00,6,-6.00
2022-04-12,19,9.00,0.53,14,14.00,5,-5.00
2022-04-13,32,16.00,0.43,24,24.00,8,-8.00
2022-04-14,26,12.00,0.52,19,19.00,7,-7.00
2022-04-15,50,18.00,0.59,34,34.00,16,-16.00
2022-04-17,4,2.00,0.67,3,3.00,1,-1.00
2022-04-18,32,18.00,0.76,25,25.00,7,-7.00
2022-04-19,21,11.00,0.64,16,16.00,5,-5.00
2022-04-20,14,4.00,0.23,9,9.00,5,-5.00
2022-04-21,24,2.00,0.51,13,13.00,11,-11.00
2022-04-22,21,11.00,0.60,16,16.00,5,-5.00
2022-04-23,6,6.00,1.00,6,6.00,0,0.00
2022-04-24,4,4.00,1.00,4,4.00,0,0.00
2022-04-25,45,17.00,0.53,31,31.00,14,-14.00
2022-04-26,26,22.00,0.89,24,24.00,2,-2.00
2022-04-27,19,11.00,0.61,15,15.00,4,-4.00
2022-04-28,28,12.00,0.47,20,20.00,8,-8.00
2022-04-29,32,20.00,0.76,26,26.00,6,-6.00
2022-04-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-01,6,2.00,0.49,4,4.00,2,-2.00
2022-05-04,9,9.00,1.00,9,9.00,0,0.00
2022-05-05,16,6.00,0.46,11,11.00,5,-5.00
2022-05-06,16,10.00,0.73,13,13.00,3,-3.00
2022-05-07,2,0.00,0.03,1,1.00,1,-1.00
2022-05-08,2,2.00,1.00,2,2.00,0,0.00
2022-05-09,19,7.00,0.36,13,13.00,6,-6.00
2022-05-10,44,26.00,0.67,35,35.00,9,-9.00
2022-05-11,40,12.00,0.54,26,26.00,14,-14.00
2022-05-12,16,10.00,0.66,13,13.00,3,-3.00
2022-05-13,19,13.00,0.68,16,16.00,3,-3.00
2022-05-14,1,1.00,1.00,1,1.00,0,0.00
2022-05-15,2,2.00,1.00,2,2.00,0,0.00
2022-05-16,11,5.00,0.42,8,8.00,3,-3.00
2022-05-17,12,8.00,0.77,10,10.00,2,-2.00
2022-05-18,14,6.00,0.35,10,10.00,4,-4.00
2022-05-19,12,2.00,0.18,7,7.00,5,-5.00
2022-05-20,9,5.00,0.56,7,7.00,2,-2.00
2022-05-21,2,0.00,0.59,1,1.00,1,-1.00
2022-05-22,1,1.00,1.00,1,1.00,0,0.00
2022-05-23,61,29.00,0.56,45,45.00,16,-16.00
2022-05-24,43,21.00,0.56,32,32.00,11,-11.00
2022-05-25,21,7.00,0.30,14,14.00,7,-7.00
2022-05-26,38,14.00,0.37,26,26.00,12,-12.00
2022-05-27,26,10.00,0.43,18,18.00,8,-8.00
2022-05-28,5,3.00,0.63,4,4.00,1,-1.00
2022-05-29,8,6.00,0.72,7,7.00,1,-1.00
2022-05-30,30,8.00,0.25,19,19.00,11,-11.00
2022-05-31,22,14.00,0.70,18,18.00,4,-4.00
2022-06-01,22,10.00,0.55,16,16.00,6,-6.00
2022-06-02,27,5.00,0.28,16,16.00,11,-11.00
2022-06-03,1,1.00,1.00,1,1.00,0,0.00
2022-06-06,14,10.00,0.62,12,12.00,2,-2.00
2022-06-07,27,19.00,0.75,23,23.00,4,-4.00
2022-06-08,29,25.00,0.88,27,27.00,2,-2.00
2022-06-09,80,34.00,0.51,57,57.00,23,-23.00
2022-06-10,56,44.00,0.86,50,50.00,6,-6.00
2022-06-11,3,3.00,1.00,3,3.00,0,0.00
2022-06-12,5,5.00,1.00,5,5.00,0,0.00
2022-06-13,48,38.00,0.87,43,43.00,5,-5.00
2022-06-14,26,14.00,0.65,20,20.00,6,-6.00
2022-06-15,18,6.00,0.35,12,12.00,6,-6.00
2022-06-16,15,9.00,0.66,12,12.00,3,-3.00
2022-06-17,32,24.00,0.78,28,28.00,4,-4.00
2022-06-18,1,-1.00,-1.00,0,0.00,1,-1.00
2022-06-19,2,2.00,1.00,2,2.00,0,0.00
2022-06-20,36,20.00,0.67,28,28.00,8,-8.00
2022-06-21,20,4.00,0.17,12,12.00,8,-8.00
2022-06-22,16,12.00,0.75,14,14.00,2,-2.00
2022-06-23,19,7.00,0.58,13,13.00,6,-6.00
2022-06-24,23,17.00,0.82,20,20.00,3,-3.00
2022-06-25,5,3.00,0.30,4,4.00,1,-1.00
2022-06-26,3,-1.00,-0.54,1,1.00,2,-2.00
2022-06-27,44,32.00,0.82,38,38.00,6,-6.00
2022-06-28,23,13.00,0.52,18,18.00,5,-5.00
2022-06-29,27,13.00,0.62,20,20.00,7,-7.00
2022-06-30,48,32.00,0.65,40,40.00,8,-8.00
2022-11-20,1,1.00,1.00,1,1.00,0,0.00
